HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,InundationTotal_0,InundationTotal_1,InundationTotal_2,InundationTotal_3,InundationTotal_4,InundationTotal_5,InundationTotal_6
031101020605,88475.0,25000.0,15050.0,14250.0,14625.0,20325.0,37275.0,88475.0,113475.0,128525.0,142775.0,157400.0,177725.0,215000.0
031300110803,7157975.0,17790525.0,32115825.0,12244650.0,11392825.0,9776125.0,7320250.0,7157975.0,24948500.0,57064325.0,69308975.0,80701800.0,90477925.0,97798175.0
031101020505,90883325.0,4844175.0,6423950.0,5366550.0,4325250.0,3249625.0,3135400.0,90883325.0,95727500.0,102151450.0,107518000.0,111843250.0,115092875.0,118228275.0
031401010702,0.0,0.0,175.0,325.0,4200.0,4450.0,17050.0,0.0,0.0,175.0,500.0,4700.0,9150.0,26200.0
031200031203,4990450.0,8630150.0,1240000.0,1270000.0,1192475.0,1355200.0,1324125.0,4990450.0,13620600.0,14860600.0,16130600.0,17323075.0,18678275.0,20002400.0
031300130401,801900.0,1717250.0,1724325.0,718800.0,621975.0,772800.0,924625.0,801900.0,2519150.0,4243475.0,4962275.0,5584250.0,6357050.0,7281675.0
031300110802,153225.0,104225.0,196275.0,797050.0,320075.0,286400.0,261900.0,153225.0,257450.0,453725.0,1250775.0,1570850.0,1857250.0,2119150.0
031200031204,42234225.0,10569750.0,6469025.0,3985975.0,5332925.0,5379225.0,5264275.0,42234225.0,52803975.0,59273000.0,63258975.0,68591900.0,73971125.0,79235400.0
031101020503,74052650.0,5542750.0,3558400.0,3091000.0,2743500.0,2653625.0,1483200.0,74052650.0,79595400.0,83153800.0,86244800.0,88988300.0,91641925.0,93125125.0
031300130303,127600.0,74875.0,86550.0,96175.0,106375.0,149025.0,164450.0,127600.0,202475.0,289025.0,385200.0,491575.0,640600.0,805050.0
031102050601,1181700.0,26000.0,24900.0,21300.0,22075.0,47125.0,36025.0,1181700.0,1207700.0,1232600.0,1253900.0,1275975.0,1323100.0,1359125.0
031300130302,0.0,0.0,0.0,575.0,1825.0,4200.0,6350.0,0.0,0.0,0.0,575.0,2400.0,6600.0,12950.0
031401010703,5871025.0,1238075.0,3117900.0,1335025.0,1309125.0,1969900.0,2626750.0,5871025.0,7109100.0,10227000.0,11562025.0,12871150.0,14841050.0,17467800.0
031300120606,1755175.0,119475.0,109600.0,104500.0,264475.0,566875.0,1213750.0,1755175.0,1874650.0,1984250.0,2088750.0,2353225.0,2920100.0,4133850.0
031200031202,3205625.0,9586650.0,1653600.0,1277600.0,1089125.0,967125.0,973975.0,3205625.0,12792275.0,14445875.0,15723475.0,16812600.0,17779725.0,18753700.0
031102050504,871100.0,19525.0,19875.0,16025.0,16450.0,19900.0,15950.0,871100.0,890625.0,910500.0,926525.0,942975.0,962875.0,978825.0
031102050503,2025.0,50.0,75.0,50.0,50.0,75.0,150.0,2025.0,2075.0,2150.0,2200.0,2250.0,2325.0,2475.0
031101020703,325.0,550.0,900.0,2575.0,5575.0,3250.0,31150.0,325.0,875.0,1775.0,4350.0,9925.0,13175.0,44325.0
031101020504,16118950.0,783725.0,1233425.0,1241975.0,820775.0,626475.0,564075.0,16118950.0,16902675.0,18136100.0,19378075.0,20198850.0,20825325.0,21389400.0
031300110605,990575.0,28600.0,22175.0,19850.0,19950.0,19175.0,38600.0,990575.0,1019175.0,1041350.0,1061200.0,1081150.0,1100325.0,1138925.0
031300110801,88325.0,68450.0,69500.0,349050.0,270650.0,155050.0,137300.0,88325.0,156775.0,226275.0,575325.0,845975.0,1001025.0,1138325.0
031200031201,733525.0,3193450.0,254675.0,108250.0,114975.0,100725.0,122950.0,733525.0,3926975.0,4181650.0,4289900.0,4404875.0,4505600.0,4628550.0
031101020501,63010850.0,10081325.0,9221425.0,4932125.0,5543800.0,3034250.0,773325.0,63010850.0,73092175.0,82313600.0,87245725.0,92789525.0,95823775.0,96597100.0
031200030903,703250.0,1364000.0,1482225.0,1542975.0,1844525.0,2094325.0,1742575.0,703250.0,2067250.0,3549475.0,5092450.0,6936975.0,9031300.0,10773875.0
031200010903,71231300.0,9831100.0,4155850.0,3133325.0,2418025.0,4094700.0,3205575.0,71231300.0,81062400.0,85218250.0,88351575.0,90769600.0,94864300.0,98069875.0
031101020403,3664900.0,5441025.0,4177075.0,4253525.0,4701925.0,4099500.0,3507500.0,3664900.0,9105925.0,13283000.0,17536525.0,22238450.0,26337950.0,29845450.0
031300110604,400.0,175.0,125.0,125.0,450.0,375.0,525.0,400.0,575.0,700.0,825.0,1275.0,1650.0,2175.0
031200031101,3365200.0,5221875.0,2316825.0,842750.0,915800.0,1137575.0,967775.0,3365200.0,8587075.0,10903900.0,11746650.0,12662450.0,13800025.0,14767800.0
031200031102,602075.0,1489800.0,870125.0,653075.0,593025.0,486125.0,802225.0,602075.0,2091875.0,2962000.0,3615075.0,4208100.0,4694225.0,5496450.0
031300120605,3790150.0,165650.0,133325.0,109750.0,91825.0,88900.0,86800.0,3790150.0,3955800.0,4089125.0,4198875.0,4290700.0,4379600.0,4466400.0
030801030601,4900.0,26725.0,69900.0,68975.0,119375.0,84075.0,103375.0,4900.0,31625.0,101525.0,170500.0,289875.0,373950.0,477325.0
031200010902,77143150.0,9301700.0,6510700.0,5650050.0,5249425.0,4009550.0,3585250.0,77143150.0,86444850.0,92955550.0,98605600.0,103855025.0,107864575.0,111449825.0
031300120604,54925.0,10150.0,7425.0,10725.0,5000.0,5250.0,4700.0,54925.0,65075.0,72500.0,83225.0,88225.0,93475.0,98175.0
031101020502,826500.0,1037425.0,1651175.0,882200.0,696825.0,568300.0,519425.0,826500.0,1863925.0,3515100.0,4397300.0,5094125.0,5662425.0,6181850.0
030801030603,3704275.0,744450.0,730975.0,529425.0,516175.0,437500.0,508000.0,3704275.0,4448725.0,5179700.0,5709125.0,6225300.0,6662800.0,7170800.0
031200010901,761800.0,1349125.0,1076850.0,1238975.0,943350.0,481875.0,397950.0,761800.0,2110925.0,3187775.0,4426750.0,5370100.0,5851975.0,6249925.0
031101020402,0.0,0.0,0.0,0.0,0.0,10200.0,10900.0,0.0,0.0,0.0,0.0,0.0,10200.0,21100.0
031200011102,107453375.0,11946925.0,3778800.0,11178050.0,10695425.0,7870125.0,11192575.0,107453375.0,119400300.0,123179100.0,134357150.0,145052575.0,152922700.0,164115275.0
031200030902,0.0,0.0,19050.0,35975.0,31875.0,36075.0,45250.0,0.0,0.0,19050.0,55025.0,86900.0,122975.0,168225.0
031101020405,53414200.0,6337825.0,5834600.0,4890350.0,5180775.0,5683925.0,4786350.0,53414200.0,59752025.0,65586625.0,70476975.0,75657750.0,81341675.0,86128025.0
031101020404,67187050.0,7147625.0,3652950.0,3218175.0,3107100.0,2490575.0,2254500.0,67187050.0,74334675.0,77987625.0,81205800.0,84312900.0,86803475.0,89057975.0
030801030804,78214975.0,6103850.0,2439825.0,3789825.0,3381725.0,2920425.0,3180650.0,78214975.0,84318825.0,86758650.0,90548475.0,93930200.0,96850625.0,100031275.0
031200011003,3823350.0,5160200.0,5422825.0,3303600.0,2626450.0,2937325.0,3101675.0,3823350.0,8983550.0,14406375.0,17709975.0,20336425.0,23273750.0,26375425.0
031401010302,0.0,0.0,0.0,0.0,0.0,0.0,34975.0,0.0,0.0,0.0,0.0,0.0,0.0,34975.0
031200011001,1170550.0,2235650.0,2785575.0,2190700.0,1708625.0,2035225.0,2116650.0,1170550.0,3406200.0,6191775.0,8382475.0,10091100.0,12126325.0,14242975.0
031200011002,16696950.0,6226550.0,9828575.0,3665925.0,3826525.0,2632325.0,2490475.0,16696950.0,22923500.0,32752075.0,36418000.0,40244525.0,42876850.0,45367325.0
031101020401,0.0,0.0,0.0,0.0,0.0,100.0,2500.0,0.0,0.0,0.0,0.0,0.0,100.0,2600.0
031101030505,4092225.0,4325350.0,3593350.0,4052075.0,2684025.0,2684875.0,3711000.0,4092225.0,8417575.0,12010925.0,16063000.0,18747025.0,21431900.0,25142900.0
031101020104,67258250.0,9777000.0,5501725.0,6200300.0,6745300.0,4876500.0,4922450.0,67258250.0,77035250.0,82536975.0,88737275.0,95482575.0,100359075.0,105281525.0
031101030504,123375.0,296450.0,527050.0,983525.0,2219000.0,2867425.0,2623800.0,123375.0,419825.0,946875.0,1930400.0,4149400.0,7016825.0,9640625.0
030801031102,1283350.0,87575.0,73950.0,356900.0,189000.0,139125.0,149200.0,1283350.0,1370925.0,1444875.0,1801775.0,1990775.0,2129900.0,2279100.0
031200010704,0.0,0.0,153500.0,169400.0,383000.0,199275.0,128050.0,0.0,0.0,153500.0,322900.0,705900.0,905175.0,1033225.0
031200010605,0.0,0.0,0.0,51000.0,81150.0,18050.0,13575.0,0.0,0.0,0.0,51000.0,132150.0,150200.0,163775.0
030801030904,418475.0,244900.0,175950.0,168050.0,263225.0,162750.0,171800.0,418475.0,663375.0,839325.0,1007375.0,1270600.0,1433350.0,1605150.0
031200011103,15689675.0,5840850.0,3333900.0,3215375.0,2952200.0,2909925.0,4057000.0,15689675.0,21530525.0,24864425.0,28079800.0,31032000.0,33941925.0,37998925.0
030801031204,63619475.0,4152975.0,1400525.0,1299650.0,1405100.0,1714075.0,1322500.0,63619475.0,67772450.0,69172975.0,70472625.0,71877725.0,73591800.0,74914300.0
031401010201,0.0,34925.0,5325.0,16975.0,4925.0,4050.0,3575.0,0.0,34925.0,40250.0,57225.0,62150.0,66200.0,69775.0
030801031103,12879550.0,1040500.0,605575.0,1378225.0,535750.0,492000.0,563525.0,12879550.0,13920050.0,14525625.0,15903850.0,16439600.0,16931600.0,17495125.0
030801031004,1404125.0,429000.0,347675.0,427000.0,388525.0,359925.0,407550.0,1404125.0,1833125.0,2180800.0,2607800.0,2996325.0,3356250.0,3763800.0
030801031303,36231900.0,719575.0,395650.0,427000.0,483200.0,652900.0,696300.0,36231900.0,36951475.0,37347125.0,37774125.0,38257325.0,38910225.0,39606525.0
030801031101,2535700.0,988650.0,839725.0,636100.0,562350.0,833775.0,3141050.0,2535700.0,3524350.0,4364075.0,5000175.0,5562525.0,6396300.0,9537350.0
030801031304,38738800.0,1277150.0,835275.0,1372100.0,1665225.0,1679050.0,2108150.0,38738800.0,40015950.0,40851225.0,42223325.0,43888550.0,45567600.0,47675750.0
030801031301,4651750.0,535450.0,551575.0,611025.0,943700.0,804350.0,1140175.0,4651750.0,5187200.0,5738775.0,6349800.0,7293500.0,8097850.0,9238025.0
030801031302,7268600.0,949950.0,793400.0,660700.0,644475.0,718050.0,839075.0,7268600.0,8218550.0,9011950.0,9672650.0,10317125.0,11035175.0,11874250.0
030802010601,150604800.0,4138750.0,6865775.0,22656725.0,11229400.0,9074300.0,6562325.0,150604800.0,154743550.0,161609325.0,184266050.0,195495450.0,204569750.0,211132075.0
030801031404,44038125.0,245950.0,226550.0,419175.0,565725.0,810075.0,848000.0,44038125.0,44284075.0,44510625.0,44929800.0,45495525.0,46305600.0,47153600.0
030801031403,7996425.0,2613725.0,801125.0,815875.0,961400.0,1348775.0,2292525.0,7996425.0,10610150.0,11411275.0,12227150.0,13188550.0,14537325.0,16829850.0
030801031402,1119525.0,196725.0,300675.0,245625.0,284075.0,308475.0,384100.0,1119525.0,1316250.0,1616925.0,1862550.0,2146625.0,2455100.0,2839200.0
030801031604,1353475.0,1065900.0,482950.0,231225.0,294050.0,294650.0,301475.0,1353475.0,2419375.0,2902325.0,3133550.0,3427600.0,3722250.0,4023725.0
030801031405,15502500.0,107375.0,186975.0,444300.0,779125.0,1063475.0,861200.0,15502500.0,15609875.0,15796850.0,16241150.0,17020275.0,18083750.0,18944950.0
030801031503,16996025.0,826100.0,924400.0,924375.0,1505525.0,1894250.0,1945525.0,16996025.0,17822125.0,18746525.0,19670900.0,21176425.0,23070675.0,25016200.0
030801031605,104444450.0,13973050.0,4754350.0,13106650.0,7549825.0,5649150.0,6481500.0,104444450.0,118417500.0,123171850.0,136278500.0,143828325.0,149477475.0,155958975.0
030801031502,7812925.0,972700.0,1014350.0,1209050.0,1586900.0,1522400.0,1754425.0,7812925.0,8785625.0,9799975.0,11009025.0,12595925.0,14118325.0,15872750.0
030801031501,2969875.0,903475.0,517825.0,473575.0,579100.0,732600.0,1019025.0,2969875.0,3873350.0,4391175.0,4864750.0,5443850.0,6176450.0,7195475.0
030801031606,74720575.0,8155750.0,1669475.0,1452825.0,3152025.0,2276875.0,1952275.0,74720575.0,82876325.0,84545800.0,85998625.0,89150650.0,91427525.0,93379800.0
030801031603,33226400.0,5021175.0,1715525.0,2003725.0,1929525.0,2051175.0,3429875.0,33226400.0,38247575.0,39963100.0,41966825.0,43896350.0,45947525.0,49377400.0
030801031601,21131775.0,2426725.0,1368375.0,1343325.0,1293475.0,1354650.0,2633350.0,21131775.0,23558500.0,24926875.0,26270200.0,27563675.0,28918325.0,31551675.0
030702050202,796950.0,1115600.0,2012375.0,844875.0,912900.0,1035950.0,1118775.0,796950.0,1912550.0,3924925.0,4769800.0,5682700.0,6718650.0,7837425.0
030702050102,10075.0,160225.0,262725.0,236375.0,563650.0,389175.0,467450.0,10075.0,170300.0,433025.0,669400.0,1233050.0,1622225.0,2089675.0
030702050103,7666525.0,1681900.0,1757850.0,1548700.0,1307975.0,1138800.0,1135675.0,7666525.0,9348425.0,11106275.0,12654975.0,13962950.0,15101750.0,16237425.0
030702050302,11686050.0,16600300.0,3665325.0,1093075.0,1179600.0,1202900.0,1019475.0,11686050.0,28286350.0,31951675.0,33044750.0,34224350.0,35427250.0,36446725.0
030702050304,176943550.0,4323550.0,2686050.0,3048500.0,4134000.0,4218275.0,4531950.0,176943550.0,181267100.0,183953150.0,187001650.0,191135650.0,195353925.0,199885875.0
030702050105,10829100.0,2413975.0,2292050.0,5554725.0,2349000.0,2009275.0,2378325.0,10829100.0,13243075.0,15535125.0,21089850.0,23438850.0,25448125.0,27826450.0
030702050303,53522475.0,9551575.0,2642425.0,2163325.0,2255675.0,2185175.0,2434500.0,53522475.0,63074050.0,65716475.0,67879800.0,70135475.0,72320650.0,74755150.0
030702050104,2665275.0,1209175.0,378175.0,266700.0,238725.0,348350.0,350525.0,2665275.0,3874450.0,4252625.0,4519325.0,4758050.0,5106400.0,5456925.0
030702050101,0.0,0.0,0.0,0.0,186075.0,259325.0,176900.0,0.0,0.0,0.0,0.0,186075.0,445400.0,622300.0
030702050301,413350.0,238775.0,353375.0,698300.0,661150.0,558475.0,800325.0,413350.0,652125.0,1005500.0,1703800.0,2364950.0,2923425.0,3723750.0
030702040903,0.0,0.0,0.0,61575.0,363775.0,860950.0,1176300.0,0.0,0.0,0.0,61575.0,425350.0,1286300.0,2462600.0
030702040904,9578625.0,2355825.0,1976450.0,2141675.0,1956625.0,2199775.0,2002650.0,9578625.0,11934450.0,13910900.0,16052575.0,18009200.0,20208975.0,22211625.0
030702040906,122911100.0,2386375.0,1498300.0,1706925.0,2134450.0,3884275.0,2075500.0,122911100.0,125297475.0,126795775.0,128502700.0,130637150.0,134521425.0,136596925.0
030702040905,25602000.0,7416200.0,858125.0,771525.0,2146725.0,1906900.0,2265275.0,25602000.0,33018200.0,33876325.0,34647850.0,36794575.0,38701475.0,40966750.0
030702040902,23670750.0,1796425.0,1486550.0,1794900.0,2049300.0,4065950.0,2884100.0,23670750.0,25467175.0,26953725.0,28748625.0,30797925.0,34863875.0,37747975.0
030702040907,52189825.0,2497500.0,1394800.0,1635325.0,2175625.0,2578850.0,2623125.0,52189825.0,54687325.0,56082125.0,57717450.0,59893075.0,62471925.0,65095050.0
