UNIQUE,NOT_A_PRIORITY_FOR_SHARED_ACTION,CORRIDORS,MEDIUM_PRIORITY,HIGH_PRIORITY,HIGHEST_PRIORITY
177,0.0,0.0,0.0,23080000.0,0.0
178,0.0,0.0,80000.0,23000000.0,0.0
179,0.0,0.0,0.0,23040000.0,0.0
180,0.0,0.0,0.0,23120000.0,0.0
181,0.0,0.0,17520000.0,5480000.0,0.0
182,0.0,0.0,23080000.0,0.0,0.0
183,0.0,560000.0,22520000.0,0.0,0.0
184,0.0,0.0,0.0,0.0,160000.0
185,0.0,0.0,0.0,0.0,20720000.0
186,0.0,0.0,0.0,23000000.0,0.0
187,0.0,0.0,0.0,23120000.0,0.0
188,0.0,0.0,0.0,23040000.0,0.0
189,0.0,0.0,0.0,23040000.0,0.0
190,0.0,0.0,0.0,23040000.0,0.0
191,0.0,0.0,0.0,23120000.0,0.0
192,0.0,0.0,17560000.0,5480000.0,0.0
193,0.0,0.0,15720000.0,7360000.0,0.0
194,0.0,0.0,19320000.0,3680000.0,0.0
195,0.0,0.0,13720000.0,9360000.0,0.0
196,0.0,0.0,6360000.0,16720000.0,0.0
197,0.0,0.0,0.0,23000000.0,0.0
198,0.0,0.0,0.0,23080000.0,0.0
199,0.0,0.0,0.0,23000000.0,0.0
200,0.0,0.0,0.0,23120000.0,0.0
201,0.0,0.0,6000000.0,17040000.0,0.0
202,0.0,0.0,22400000.0,640000.0,0.0
203,0.0,0.0,23080000.0,0.0,0.0
204,0.0,3800000.0,19200000.0,0.0,0.0
205,0.0,0.0,0.0,0.0,11840000.0
206,0.0,0.0,0.0,0.0,23080000.0
207,0.0,0.0,0.0,23000000.0,0.0
208,0.0,0.0,0.0,23080000.0,0.0
209,0.0,0.0,0.0,23080000.0,0.0
210,0.0,0.0,0.0,23040000.0,0.0
211,0.0,0.0,0.0,23040000.0,0.0
212,0.0,0.0,0.0,23040000.0,0.0
213,0.0,0.0,4320000.0,18800000.0,0.0
214,0.0,0.0,560000.0,22480000.0,0.0
215,0.0,0.0,14720000.0,8280000.0,0.0
216,0.0,0.0,14600000.0,8480000.0,0.0
217,0.0,0.0,0.0,23000000.0,0.0
218,0.0,0.0,0.0,23080000.0,0.0
219,0.0,0.0,0.0,23040000.0,0.0
220,0.0,0.0,0.0,22800000.0,240000.0
221,0.0,0.0,0.0,23040000.0,0.0
222,0.0,0.0,7440000.0,15640000.0,0.0
223,0.0,0.0,23000000.0,0.0,0.0
224,0.0,0.0,23080000.0,0.0,0.0
225,0.0,4000000.0,19040000.0,0.0,0.0
226,0.0,0.0,0.0,0.0,5000000.0
227,0.0,0.0,0.0,0.0,23000000.0
228,0.0,0.0,0.0,0.0,23040000.0
229,0.0,0.0,0.0,0.0,23120000.0
230,0.0,0.0,0.0,8960000.0,14080000.0
231,0.0,0.0,0.0,23080000.0,0.0
232,0.0,0.0,0.0,23080000.0,0.0
233,0.0,0.0,0.0,23000000.0,0.0
234,0.0,0.0,0.0,23080000.0,0.0
235,0.0,0.0,0.0,23080000.0,0.0
236,0.0,0.0,6720000.0,16320000.0,0.0
237,0.0,0.0,15920000.0,7160000.0,0.0
238,0.0,0.0,400000.0,22640000.0,0.0
239,0.0,0.0,0.0,23160000.0,0.0
240,0.0,0.0,0.0,16040000.0,7000000.0
241,0.0,0.0,0.0,3760000.0,19280000.0
242,0.0,0.0,240000.0,22520000.0,280000.0
243,0.0,0.0,18200000.0,4840000.0,0.0
244,0.0,0.0,23120000.0,0.0,0.0
245,0.0,0.0,23040000.0,0.0,0.0
246,0.0,1480000.0,21520000.0,0.0,0.0
247,0.0,0.0,0.0,0.0,12880000.0
248,0.0,0.0,0.0,0.0,23040000.0
249,0.0,0.0,0.0,0.0,23080000.0
250,0.0,0.0,0.0,0.0,22960000.0
251,0.0,0.0,0.0,1240000.0,21840000.0
252,0.0,0.0,0.0,23080000.0,0.0
253,0.0,0.0,0.0,23080000.0,0.0
254,0.0,0.0,0.0,23040000.0,0.0
255,0.0,0.0,0.0,19040000.0,4000000.0
256,0.0,0.0,0.0,23000000.0,0.0
257,0.0,0.0,0.0,23200000.0,0.0
258,0.0,0.0,4200000.0,18840000.0,0.0
259,0.0,0.0,0.0,23040000.0,0.0
260,0.0,0.0,0.0,20800000.0,2240000.0
261,0.0,0.0,0.0,5080000.0,17960000.0
262,0.0,0.0,0.0,0.0,23160000.0
263,0.0,0.0,0.0,16360000.0,6640000.0
264,0.0,0.0,11320000.0,11720000.0,0.0
265,0.0,0.0,23080000.0,0.0,0.0
266,0.0,0.0,23040000.0,0.0,0.0
267,0.0,5320000.0,17800000.0,0.0,0.0
268,0.0,0.0,0.0,0.0,15000000.0
269,0.0,0.0,0.0,0.0,23080000.0
270,0.0,0.0,0.0,0.0,23080000.0
271,0.0,0.0,0.0,0.0,23040000.0
272,0.0,0.0,0.0,6600000.0,16480000.0
273,0.0,0.0,0.0,23080000.0,0.0
274,0.0,0.0,0.0,23040000.0,0.0
275,0.0,0.0,0.0,23080000.0,0.0
276,0.0,0.0,0.0,23040000.0,0.0
277,0.0,0.0,0.0,23080000.0,0.0
278,0.0,0.0,0.0,23040000.0,0.0
279,0.0,0.0,0.0,23080000.0,0.0
280,0.0,0.0,0.0,22520000.0,520000.0
281,0.0,0.0,0.0,2040000.0,21000000.0
282,0.0,0.0,0.0,0.0,23040000.0
283,0.0,0.0,0.0,240000.0,22840000.0
284,0.0,0.0,80000.0,20240000.0,2760000.0
285,0.0,0.0,14360000.0,8680000.0,0.0
286,0.0,0.0,23040000.0,0.0,0.0
287,0.0,3760000.0,19240000.0,0.0,0.0
288,0.0,20360000.0,2760000.0,0.0,0.0
289,0.0,0.0,0.0,0.0,40000.0
290,0.0,0.0,0.0,0.0,23080000.0
291,0.0,0.0,0.0,0.0,23000000.0
292,0.0,0.0,0.0,23120000.0,0.0
293,0.0,0.0,0.0,23080000.0,0.0
294,0.0,0.0,0.0,23040000.0,0.0
295,0.0,0.0,0.0,23040000.0,0.0
296,0.0,0.0,0.0,23080000.0,0.0
297,0.0,0.0,0.0,23080000.0,0.0
298,0.0,0.0,0.0,23040000.0,0.0
299,0.0,0.0,0.0,23040000.0,0.0
300,0.0,0.0,0.0,23080000.0,0.0
301,0.0,0.0,0.0,23080000.0,0.0
302,0.0,0.0,0.0,18440000.0,4600000.0
303,0.0,0.0,0.0,9280000.0,13800000.0
304,0.0,0.0,1000000.0,13600000.0,8400000.0
305,0.0,0.0,13160000.0,3160000.0,6760000.0
306,0.0,0.0,22880000.0,160000.0,0.0
307,0.0,0.0,22840000.0,200000.0,0.0
308,0.0,5800000.0,17280000.0,0.0,0.0
309,0.0,22800000.0,240000.0,0.0,0.0
310,0.0,0.0,0.0,23080000.0,0.0
311,0.0,0.0,0.0,23040000.0,0.0
312,0.0,0.0,0.0,23040000.0,0.0
313,0.0,0.0,0.0,23080000.0,0.0
314,0.0,0.0,0.0,23040000.0,0.0
315,0.0,0.0,0.0,23080000.0,0.0
316,0.0,0.0,0.0,23040000.0,0.0
317,0.0,0.0,0.0,23040000.0,0.0
318,0.0,0.0,0.0,23080000.0,0.0
319,0.0,0.0,0.0,23000000.0,0.0
320,0.0,0.0,0.0,19680000.0,3400000.0
321,0.0,0.0,9840000.0,13160000.0,80000.0
322,0.0,0.0,20040000.0,2960000.0,0.0
323,0.0,0.0,21880000.0,1200000.0,0.0
324,0.0,0.0,20280000.0,2800000.0,0.0
325,0.0,6840000.0,16240000.0,0.0,0.0
326,0.0,22520000.0,520000.0,0.0,0.0
327,0.0,23040000.0,0.0,0.0,0.0
328,0.0,0.0,0.0,23040000.0,0.0
329,0.0,0.0,0.0,23040000.0,0.0
330,0.0,0.0,0.0,23040000.0,0.0
331,0.0,0.0,0.0,23120000.0,0.0
332,0.0,0.0,0.0,23040000.0,0.0
333,0.0,0.0,0.0,23040000.0,0.0
334,0.0,0.0,0.0,23040000.0,0.0
335,0.0,0.0,0.0,23080000.0,0.0
336,0.0,0.0,0.0,23080000.0,0.0
337,0.0,0.0,0.0,23040000.0,0.0
338,0.0,0.0,0.0,23000000.0,0.0
339,0.0,0.0,0.0,23120000.0,0.0
340,0.0,0.0,6080000.0,17000000.0,0.0
341,0.0,0.0,22160000.0,880000.0,0.0
342,0.0,0.0,23040000.0,0.0,0.0
343,0.0,0.0,23040000.0,0.0,0.0
344,0.0,9160000.0,13920000.0,0.0,0.0
345,0.0,23080000.0,0.0,0.0,0.0
346,0.0,23000000.0,0.0,0.0,0.0
347,0.0,0.0,0.0,23120000.0,0.0
348,0.0,0.0,0.0,23040000.0,0.0
349,0.0,0.0,0.0,23040000.0,0.0
350,0.0,0.0,0.0,23080000.0,0.0
351,0.0,0.0,0.0,23040000.0,0.0
352,0.0,0.0,0.0,23080000.0,0.0
353,0.0,0.0,0.0,22080000.0,960000.0
354,0.0,0.0,0.0,23000000.0,0.0
355,0.0,0.0,0.0,23160000.0,0.0
356,0.0,0.0,0.0,23040000.0,0.0
357,0.0,0.0,0.0,23040000.0,0.0
358,0.0,0.0,40000.0,23000000.0,0.0
359,0.0,0.0,16360000.0,6640000.0,0.0
360,0.0,0.0,23080000.0,0.0,0.0
361,0.0,0.0,23040000.0,0.0,0.0
362,0.0,0.0,23040000.0,0.0,0.0
