HUC12,VALUE_0,VALUE_1,VALUE_25,VALUE_50,VALUE_100,VALUE_200,VALUE_300,VALUE_400,VALUE_500,VALUE_600,VALUE_700,VALUE_800,VALUE_900,VALUE_950,VALUE_975,VALUE_1000,UrbArea,PixelArea60m,PercentUrb
031101010504,356889600.0,3520800.0,396000.0,716400.0,637200.0,813600.0,522000.0,525600.0,468000.0,399600.0,298800.0,237600.0,140400.0,169200.0,140400.0,3232800.0,8689590.0,369108000.0,0.023542134009558176
031101010503,173836800.0,9345600.0,1227600.0,2080800.0,1994400.0,2631600.0,1861200.0,1562400.0,1411200.0,1288800.0,1148400.0,810000.0,784800.0,550800.0,432000.0,17323200.0,33294150.0,218289600.0,0.15252284121643908
031102050804,78472800.0,1004400.0,399600.0,622800.0,676800.0,856800.0,540000.0,518400.0,417600.0,424800.0,432000.0,450000.0,622800.0,410400.0,324000.0,6966000.0,11012310.0,93139200.0,0.11823496444032158
031102050805,171356400.0,3916800.0,115200.0,288000.0,284400.0,306000.0,172800.0,183600.0,169200.0,140400.0,93600.0,25200.0,7200.0,18000.0,7200.0,511200.0,4945320.0,177595200.0,0.02784602286548285
031101020903,194511600.0,1587600.0,79200.0,122400.0,104400.0,151200.0,90000.0,162000.0,90000.0,126000.0,79200.0,32400.0,25200.0,18000.0,3600.0,324000.0,2297430.0,197506800.0,0.01163215646246104
031102050803,88585200.0,4276800.0,748800.0,1688400.0,1364400.0,1584000.0,1098000.0,896400.0,817200.0,810000.0,748800.0,702000.0,896400.0,730800.0,453600.0,11178000.0,20622780.0,116578800.0,0.17689991662291943
031102050802,63889200.0,5562000.0,1378800.0,2264400.0,1393200.0,1969200.0,1418400.0,1141200.0,1040400.0,1116000.0,1018800.0,1220400.0,1684800.0,1371600.0,921600.0,31647600.0,45369630.0,119037600.0,0.3811369684872679
031102050704,56606400.0,13438800.0,662400.0,1314000.0,1321200.0,1738800.0,1393200.0,1162800.0,1123200.0,1047600.0,1062000.0,1206000.0,1695600.0,1429200.0,1054800.0,48952800.0,70647390.0,135208800.0,0.5225058576069014
031101020906,174924000.0,1918800.0,464400.0,867600.0,835200.0,1166400.0,763200.0,723600.0,637200.0,694800.0,435600.0,464400.0,583200.0,460800.0,306000.0,6616800.0,12098700.0,191862000.0,0.06305938643399944
031300110704,487443600.0,15472800.0,684000.0,1288800.0,1353600.0,1238400.0,907200.0,856800.0,964800.0,824400.0,432000.0,259200.0,273600.0,187200.0,126000.0,2307600.0,20893590.0,514620000.0,0.040600034977264776
