HUC12,VALUE_0,VALUE_1,VALUE_25,VALUE_50,VALUE_100,VALUE_200,VALUE_300,VALUE_400,VALUE_500,VALUE_600,VALUE_700,VALUE_800,VALUE_900,VALUE_950,VALUE_975,VALUE_1000,UrbArea,PixelArea60m,PercentUrb
031101010504,354110400.0,3520800.0,511200.0,838800.0,784800.0,982800.0,658800.0,622800.0,579600.0,554400.0,601200.0,529200.0,388800.0,151200.0,72000.0,4201200.0,10528920.0,369108000.0,0.028525309665463766
031101010503,161143200.0,9345600.0,1807200.0,2602800.0,1983600.0,2696400.0,2174400.0,1911600.0,1681200.0,1868400.0,1947600.0,1900800.0,1728000.0,975600.0,514800.0,24008400.0,43513470.0,218289600.0,0.1993382643973877
031102050804,68673600.0,1004400.0,716400.0,910800.0,867600.0,1080000.0,738000.0,680400.0,640800.0,572400.0,630000.0,756000.0,892800.0,662400.0,507600.0,13806000.0,19307520.0,93139200.0,0.20729746444032157
031102050805,170208000.0,3916800.0,262800.0,360000.0,385200.0,399600.0,241200.0,273600.0,223200.0,208800.0,237600.0,183600.0,86400.0,54000.0,0.0,554400.0,5475150.0,177595200.0,0.03082938052379794
031101020903,194065200.0,1587600.0,79200.0,183600.0,183600.0,183600.0,169200.0,100800.0,90000.0,118800.0,104400.0,111600.0,104400.0,28800.0,28800.0,367200.0,2540160.0,197506800.0,0.012861126806773236
031102050803,78357600.0,4276800.0,921600.0,2113200.0,1479600.0,1893600.0,1404000.0,1116000.0,1011600.0,986400.0,1051200.0,1062000.0,925200.0,637200.0,486000.0,18856800.0,29251530.0,116578800.0,0.25091637587623133
031102050802,42336000.0,5562000.0,1400400.0,2703600.0,1278000.0,1526400.0,1173600.0,1159200.0,1072800.0,1098000.0,1170000.0,1400400.0,1918800.0,1630800.0,1004400.0,52603200.0,66974220.0,119037600.0,0.5626307990080445
031102050704,42145200.0,13438800.0,543600.0,957600.0,1051200.0,1155600.0,979200.0,943200.0,860400.0,903600.0,1058400.0,1177200.0,1479600.0,1191600.0,781200.0,66542400.0,86930280.0,135208800.0,0.6429335960381277
031101020906,169858800.0,1918800.0,579600.0,1015200.0,936000.0,1227600.0,853200.0,770400.0,630000.0,684000.0,662400.0,781200.0,597600.0,414000.0,208800.0,10724400.0,16560450.0,191862000.0,0.08631438221221503
031300110704,482940000.0,15472800.0,986400.0,1519200.0,1659600.0,1663200.0,1209600.0,961200.0,907200.0,885600.0,1054800.0,759600.0,662400.0,342000.0,187200.0,3409200.0,23663160.0,514620000.0,0.0459818118223155
031101020905,357940800.0,2822400.0,536400.0,896400.0,878400.0,1069200.0,763200.0,694800.0,709200.0,734400.0,590400.0,561600.0,460800.0,234000.0,266400.0,4600800.0,10844550.0,373759200.0,0.029014804184084298
031102050703,25732800.0,4176000.0,284400.0,576000.0,457200.0,615600.0,424800.0,374400.0,327600.0,338400.0,360000.0,414000.0,594000.0,450000.0,388800.0,29491200.0,36440370.0,65005200.0,0.5605762308246109
031300110706,256356000.0,284400.0,3600.0,21600.0,7200.0,21600.0,14400.0,10800.0,7200.0,14400.0,10800.0,10800.0,7200.0,0.0,0.0,126000.0,460170.0,256896000.0,0.0017912696188340806
031101020904,100317600.0,1760400.0,352800.0,529200.0,547200.0,655200.0,468000.0,439200.0,417600.0,385200.0,392400.0,388800.0,154800.0,111600.0,108000.0,2484000.0,6157800.0,109512000.0,0.05622945430637738
031102050702,12340800.0,8211600.0,435600.0,680400.0,666000.0,878400.0,723600.0,576000.0,594000.0,586800.0,597600.0,727200.0,1069200.0,1047600.0,954000.0,48279600.0,61762680.0,78368400.0,0.7881069410629795
031101020804,38962800.0,626400.0,536400.0,835200.0,802800.0,943200.0,655200.0,468000.0,410400.0,406800.0,446400.0,349200.0,334800.0,208800.0,147600.0,3492000.0,6510960.0,49626000.0,0.1312005803409503
031101010201,103518000.0,3675600.0,1083600.0,1562400.0,1558800.0,1807200.0,1191600.0,1011600.0,885600.0,838800.0,896400.0,1108800.0,1303200.0,1144800.0,864000.0,32144400.0,42768090.0,154594800.0,0.27664636844188806
031300110703,54324000.0,6930000.0,954000.0,1965600.0,1645200.0,1918800.0,1357200.0,1234800.0,1054800.0,1036800.0,1238400.0,1054800.0,781200.0,489600.0,270000.0,8704800.0,21497940.0,84960000.0,0.25303601694915256
031300110705,113335200.0,1400400.0,90000.0,140400.0,144000.0,165600.0,86400.0,64800.0,57600.0,54000.0,64800.0,39600.0,18000.0,14400.0,10800.0,126000.0,1813680.0,115812000.0,0.01566055331053777
031300110804,458146800.0,16491600.0,262800.0,561600.0,525600.0,745200.0,525600.0,504000.0,518400.0,576000.0,727200.0,633600.0,356400.0,190800.0,100800.0,4827600.0,24135750.0,485694000.0,0.04969332542712078
031300130504,152236800.0,5292000.0,72000.0,205200.0,270000.0,360000.0,212400.0,255600.0,262800.0,226800.0,280800.0,284400.0,79200.0,21600.0,10800.0,342000.0,6704910.0,160412400.0,0.04179795327543257
031101020902,109944000.0,10044000.0,709200.0,1386000.0,1681200.0,1638000.0,1047600.0,968400.0,878400.0,853200.0,874800.0,1047600.0,1015200.0,658800.0,489600.0,29793600.0,45540450.0,163029600.0,0.27933853729629465
031102050701,24710400.0,27050400.0,1098000.0,1558800.0,1976400.0,2199600.0,1404000.0,1220400.0,1227600.0,1224000.0,1378800.0,1616400.0,1836000.0,1458000.0,939600.0,102427200.0,138690000.0,173325600.0,0.8001703152909899
031101020805,58507200.0,10569600.0,572400.0,986400.0,968400.0,1263600.0,946800.0,813600.0,975600.0,939600.0,1036800.0,1123200.0,716400.0,288000.0,111600.0,8269200.0,23564520.0,88088400.0,0.26750991049899875
031300110702,58597200.0,302400.0,151200.0,241200.0,241200.0,342000.0,216000.0,165600.0,158400.0,129600.0,158400.0,82800.0,75600.0,50400.0,54000.0,2167200.0,3211650.0,63133200.0,0.05087101556708673
031101020901,109519200.0,8290800.0,464400.0,745200.0,741600.0,1040400.0,846000.0,766800.0,579600.0,612000.0,579600.0,604800.0,619200.0,370800.0,266400.0,8089200.0,19987470.0,134136000.0,0.1490089908749329
031101020506,128919600.0,367200.0,64800.0,154800.0,136800.0,255600.0,136800.0,158400.0,118800.0,136800.0,115200.0,104400.0,104400.0,72000.0,108000.0,1314000.0,2433060.0,132267600.0,0.018394981083802837
