Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
164,475,18999999.99999999,93,98,5,97.66315789473684,1.253294826621958,46390.0,2,98,93,98
165,576,23039999.99999999,93,98,5,93.00868055555556,0.20815240986514036,53573.0,2,93,98,93
166,576,23039999.99999999,93,93,0,93.0,0.0,53568.0,1,93,93,93
167,578,23119999.99999999,82,93,11,82.72318339100346,2.7261737076010224,47814.0,2,82,93,82
168,575,22999999.99999999,82,82,0,82.0,0.0,47150.0,1,82,82,82
169,576,23039999.99999999,36,68,32,46.744791666666664,11.833882350453505,26925.0,4,36,68,46
170,577,23079999.99999999,36,46,10,41.1473136915078,4.997829396477478,23742.0,2,46,36,46
171,575,22999999.99999999,20,46,26,33.04869565217391,9.321563268944631,19003.0,4,29,36,29
172,578,23119999.99999999,20,29,9,27.48961937716263,3.363357842944126,15889.0,2,29,20,29
173,576,23039999.99999999,15,29,14,22.26736111111111,6.916268360630999,12826.0,3,29,20,29
174,578,23119999.99999999,15,15,0,15.0,0.0,8670.0,1,15,15,15
175,576,23039999.99999999,0,15,15,9.765625,7.149611413173097,5625.0,2,15,0,15
176,575,22999999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
177,577,23079999.99999999,0,15,15,3.4575389948006934,6.317318182697703,1995.0,2,0,15,0
178,577,23079999.99999999,15,15,0,15.0,0.0,8655.0,1,15,15,15
179,576,23039999.99999999,15,17,2,15.222222222222221,0.6285393610547179,8768.0,2,15,17,15
180,578,23119999.99999999,15,17,2,16.958477508650518,0.2851681353362106,9802.0,2,17,15,17
181,575,22999999.99999999,1,17,16,16.401739130434784,2.175834976506836,9431.0,3,17,1,17
182,577,23079999.99999999,1,17,16,5.296360485268631,6.161928499838458,3056.0,4,1,17,1
183,577,23079999.99999999,1,14,13,7.195840554592721,6.492879717950236,4152.0,2,1,14,1
184,4,159999.9999999999,97,97,0,97.0,0.0,388.0,1,97,97,97
185,518,20719999.99999999,91,98,7,95.98262548262548,2.4943347506205638,49719.0,4,97,93,97
186,575,22999999.99999999,77,82,5,81.12173913043478,1.9026198235111371,46645.0,2,82,77,82
187,578,23119999.99999999,61,82,21,81.63494809688581,2.275936268211491,47185.0,3,82,61,82
188,576,23039999.99999999,61,82,21,61.65625,3.653845363107202,35514.0,2,61,82,61
189,576,23039999.99999999,61,61,0,61.0,0.0,35136.0,1,61,61,61
190,576,23039999.99999999,36,61,25,39.47222222222222,8.645763609714404,22736.0,2,36,61,36
191,578,23119999.99999999,36,36,0,36.0,0.0,20808.0,1,36,36,36
192,576,23039999.99999999,20,36,16,24.083333333333332,6.975652100142482,13872.0,2,20,36,20
193,577,23079999.99999999,20,20,0,20.0,0.0,11540.0,1,20,20,20
194,575,22999999.99999999,1,20,19,8.299130434782608,9.188702852602296,4772.0,3,1,15,1
195,577,23079999.99999999,1,15,14,3.0866551126516466,4.985884276431594,1781.0,2,1,15,1
196,577,23079999.99999999,0,15,15,2.927209705372617,5.065419996004247,1689.0,3,1,15,1
197,575,22999999.99999999,0,1,1,0.5321739130434783,0.4989637655376096,306.0,2,1,0,1
198,577,23079999.99999999,0,18,18,6.540727902946274,7.74521632363917,3774.0,4,0,18,1
199,575,22999999.99999999,15,18,3,15.646956521739131,1.2338220391112347,8997.0,2,15,18,15
200,578,23119999.99999999,15,18,3,15.716262975778546,1.0419132720547826,9084.0,3,15,18,15
201,576,23039999.99999999,17,17,0,17.0,0.0,9792.0,1,17,17,17
202,576,23039999.99999999,1,17,16,14.5,5.809475019311125,8352.0,2,17,1,17
203,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
204,575,22999999.99999999,1,1,0,1.0,0.0,575.0,1,1,1,1
205,296,11839999.999999994,97,97,0,97.0,0.0,28712.0,1,97,97,97
206,577,23079999.99999999,91,97,6,94.75389948006932,2.9037278753271356,54673.0,2,97,91,97
207,575,22999999.99999999,77,77,0,77.0,0.0,44275.0,1,77,77,77
208,577,23079999.99999999,52,82,30,73.56499133448874,8.653128067152666,42447.0,4,77,61,77
209,577,23079999.99999999,52,61,9,53.2790294627383,3.142506769776659,30742.0,2,52,61,52
210,576,23039999.99999999,28,61,33,53.96875,6.212308221385993,31086.0,3,52,28,52
211,576,23039999.99999999,28,61,33,31.869791666666668,4.810873530167249,18357.0,3,28,61,28
212,576,23039999.99999999,28,36,8,32.916666666666664,3.893548795407889,18960.0,2,36,28,36
213,578,23119999.99999999,9,36,27,19.079584775086506,6.890435060960838,11028.0,4,20,28,20
214,576,23039999.99999999,9,20,11,19.274305555555557,2.7305688898453657,11102.0,2,20,9,20
215,575,22999999.99999999,1,20,19,4.998260869565217,7.744731534446028,2874.0,2,1,20,1
216,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
217,575,22999999.99999999,1,1,0,1.0,0.0,575.0,1,1,1,1
218,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
219,576,23039999.99999999,1,18,17,10.414930555555555,8.450615485188687,5999.0,2,18,1,18
220,576,23039999.99999999,18,18,0,18.0,0.0,10368.0,1,18,18,18
221,576,23039999.99999999,17,18,1,17.56423611111111,0.4958565538836298,10117.0,2,18,17,18
222,577,23079999.99999999,17,17,0,17.0,0.0,9809.0,1,17,17,17
223,575,22999999.99999999,1,17,16,11.907826086956522,7.45282144211272,6847.0,2,17,1,17
224,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
225,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
226,125,4999999.999999997,94,97,3,94.072,0.45914703527262635,11759.0,2,94,97,94
227,575,22999999.99999999,94,97,3,94.87652173913044,1.3642854753395213,54554.0,2,94,97,94
228,576,23039999.99999999,87,97,10,91.89236111111111,3.7205618576050594,52930.0,4,87,97,91
229,578,23119999.99999999,87,91,4,89.43598615916954,1.9519006299021688,51694.0,2,91,87,91
230,576,23039999.99999999,77,91,14,85.52430555555556,6.113177325887624,49262.0,3,91,87,87
231,577,23079999.99999999,28,52,24,47.63258232235702,9.259788717483957,27484.0,2,52,28,52
232,577,23079999.99999999,28,28,0,28.0,0.0,16156.0,1,28,28,28
233,575,22999999.99999999,9,28,19,26.777391304347827,4.6620589008191455,15397.0,2,28,9,28
234,577,23079999.99999999,9,9,0,9.0,0.0,5193.0,1,9,9,9
235,577,23079999.99999999,0,9,9,8.968804159445407,0.5289512118555241,5175.0,2,9,0,9
236,576,23039999.99999999,0,20,20,0.6128472222222222,2.276336958554505,353.0,4,0,20,0
237,577,23079999.99999999,0,1,1,0.24956672443674177,0.4327622609362526,144.0,2,0,1,0
238,576,23039999.99999999,0,16,16,8.381944444444445,7.596596942580584,4828.0,3,16,0,1
239,579,23159999.99999999,1,16,15,7.5025906735751295,7.433382449165433,4344.0,2,1,16,1
240,576,23039999.99999999,1,18,17,14.305555555555555,6.84579937887479,8240.0,3,18,16,18
241,576,23039999.99999999,18,18,0,18.0,0.0,10368.0,1,18,18,18
242,576,23039999.99999999,17,18,1,17.40277777777778,0.4904567661947219,10024.0,2,17,18,17
243,576,23039999.99999999,17,17,0,17.0,0.0,9792.0,1,17,17,17
244,578,23119999.99999999,1,17,16,9.304498269896193,7.994202949864998,5378.0,2,17,1,17
245,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
246,575,22999999.99999999,1,1,0,1.0,0.0,575.0,1,1,1,1
247,322,12879999.999999993,94,94,0,94.0,0.0,30268.0,1,94,94,94
248,576,23039999.99999999,94,94,0,94.0,0.0,54144.0,1,94,94,94
249,577,23079999.99999999,87,94,7,89.12305025996534,3.217764660974857,51424.0,2,87,94,87
250,574,22959999.99999999,87,87,0,87.0,0.0,49938.0,1,87,87,87
251,577,23079999.99999999,87,87,0,87.0,0.0,50199.0,1,87,87,87
252,577,23079999.99999999,28,64,36,51.95840554592721,12.060434311994666,29980.0,4,64,28,52
253,577,23079999.99999999,28,45,17,35.512998266897746,8.442501263183397,20491.0,2,28,45,28
254,576,23039999.99999999,9,45,36,28.225694444444443,11.105293073123697,16258.0,4,28,22,28
255,576,23039999.99999999,9,22,13,10.602430555555555,4.273618319041154,6107.0,2,9,22,9
256,575,22999999.99999999,0,22,22,8.097391304347827,2.9666394651939294,4656.0,3,9,22,9
257,580,23199999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
258,576,23039999.99999999,0,16,16,0.2777777777777778,2.0898047637560033,160.0,2,0,16,0
259,576,23039999.99999999,0,16,16,15.63888888888889,2.3764209524429494,9008.0,2,16,0,16
260,576,23039999.99999999,16,16,0,16.0,0.0,9216.0,1,16,16,16
261,576,23039999.99999999,16,18,2,17.75347222222222,0.6574797413909552,10226.0,2,18,16,18
262,579,23159999.99999999,18,18,0,18.0,0.0,10422.0,1,18,18,18
263,575,22999999.99999999,1,18,17,5.831304347826087,7.618357294318384,3353.0,3,1,17,1
264,576,23039999.99999999,1,17,16,4.277777777777778,6.457601511703135,2464.0,2,1,17,1
265,577,23079999.99999999,1,17,16,3.488734835355286,5.243164531963221,2013.0,3,1,17,2
266,576,23039999.99999999,1,2,1,1.4791666666666667,0.49956578367840826,852.0,2,1,2,1
267,578,23119999.99999999,1,2,1,1.1522491349480968,0.35926221044754103,666.0,2,1,2,1
268,375,14999999.999999993,94,97,3,96.384,1.2118349722630395,36144.0,2,97,94,97
269,577,23079999.99999999,94,97,3,95.81455805892547,1.4666469335068104,55285.0,2,97,94,97
270,577,23079999.99999999,87,97,10,90.15597920277297,3.1430266881035602,52020.0,4,87,97,92
271,576,23039999.99999999,87,92,5,88.44097222222223,2.2646103783861284,50942.0,2,87,92,87
272,577,23079999.99999999,82,92,10,86.74003466204506,1.7959154500767402,50049.0,3,87,92,87
273,577,23079999.99999999,45,64,19,54.417677642980934,9.499643310647775,31399.0,2,45,64,45
274,576,23039999.99999999,45,45,0,45.0,0.0,25920.0,1,45,45,45
275,577,23079999.99999999,22,45,23,36.07105719237435,11.208910068045874,20813.0,2,45,22,45
276,576,23039999.99999999,22,22,0,22.0,0.0,12672.0,1,22,22,22
277,577,23079999.99999999,0,22,22,16.03119584055459,9.381518621073901,9250.0,4,22,0,22
278,576,23039999.99999999,0,1,1,0.8107638888888888,0.39169606248040634,467.0,2,1,0,1
279,577,23079999.99999999,0,16,16,2.897746967071057,5.314537642020486,1672.0,4,1,16,1
280,576,23039999.99999999,15,16,1,15.510416666666666,0.4998914812792428,8934.0,2,16,15,16
281,576,23039999.99999999,15,18,3,15.776041666666666,0.6509999986665813,9087.0,3,16,18,16
282,576,23039999.99999999,16,18,2,17.989583333333332,0.1439611975113047,10362.0,2,18,16,18
283,577,23079999.99999999,18,18,0,18.0,0.0,10386.0,1,18,18,18
284,577,23079999.99999999,1,18,17,2.3552859618717505,4.6046781986772025,1359.0,2,1,18,1
285,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
286,576,23039999.99999999,1,2,1,1.8038194444444444,0.39710671761815997,1039.0,2,2,1,2
287,575,22999999.99999999,2,2,0,2.0,0.0,1150.0,1,2,2,2
288,578,23119999.99999999,1,2,1,1.314878892733564,0.46446762604561453,760.0,2,1,2,1
289,1,39999.99999999998,97,97,0,97.0,0.0,97.0,1,97,97,97
290,577,23079999.99999999,92,97,5,92.06065857885615,0.5473695562349525,53119.0,2,92,97,92
291,575,22999999.99999999,92,92,0,92.0,0.0,52900.0,1,92,92,92
292,578,23119999.99999999,57,87,30,63.71280276816609,10.485145635407342,36826.0,4,57,87,57
293,577,23079999.99999999,57,64,7,59.41421143847487,3.327320723895007,34282.0,2,57,64,57
294,576,23039999.99999999,37,64,27,47.545138888888886,10.001286930114935,27386.0,4,37,57,45
295,576,23039999.99999999,37,45,8,42.27777777777778,3.790420022981252,24352.0,2,45,37,45
296,577,23079999.99999999,17,45,28,31.214904679376083,11.371720817434191,18011.0,4,22,37,22
297,577,23079999.99999999,17,22,5,21.844020797227035,0.8692332840884583,12604.0,2,22,17,22
298,576,23039999.99999999,1,22,21,12.921875,10.403281765115034,7443.0,2,22,1,22
299,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
300,577,23079999.99999999,1,15,14,5.415944540727903,6.505586628691225,3125.0,2,1,15,1
301,577,23079999.99999999,15,15,0,15.0,0.0,8655.0,1,15,15,15
302,576,23039999.99999999,15,18,3,15.598958333333334,1.1992180431141601,8985.0,2,15,18,15
303,577,23079999.99999999,18,18,0,18.0,0.0,10386.0,1,18,18,18
304,575,22999999.99999999,1,18,17,16.610434782608696,4.65743676309925,9551.0,2,18,1,18
305,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
306,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
307,576,23039999.99999999,1,2,1,1.4322916666666667,0.4953943697673826,825.0,2,1,2,1
308,577,23079999.99999999,1,2,1,1.6239168110918545,0.48440130463163045,937.0,2,2,1,2
309,576,23039999.99999999,1,2,1,1.1232638888888888,0.32873987069547345,647.0,2,1,2,1
