AREA,COUNT,HUC12,MAJORITY,MAX,MEAN,MEDIAN,MIN,MINORITY,RANGE,STD,SUM,VARIETY,ZONE_CODE
60359999.99999998,1509,030801031304,6,6,6.0,6,6,6,0,0.0,9054.0,1,246
25959999.99999999,649,031401010101,3,3,2.9322033898305087,3,1,1,2,0.36193485600106085,1903.0,2,247
5359999.999999998,134,031200010403,2,5,1.9253731343283582,2,1,5,4,0.3982586287798904,258.0,3,248
37839999.999999985,946,031102050102,6,6,6.0,6,6,6,0,0.0,5676.0,1,249
38039999.999999985,951,031102050105,6,6,5.990536277602524,6,3,3,3,0.16823080916055488,5697.0,2,250
35799999.999999985,895,031300120501,6,6,5.909497206703911,6,1,3,5,0.6547371631315069,5289.0,4,251
37639999.999999985,941,031200030603,5,5,4.9064824654622745,5,1,1,4,0.6044208872010363,4617.0,2,252
117679999.99999996,2942,030801031301,6,6,6.0,6,6,6,0,0.0,17652.0,1,253
10239999.999999996,256,031200010402,4,4,3.0234375,4,2,2,2,0.9997253040679475,774.0,2,254
96879999.99999997,2422,031101020101,3,4,3.0024772914946327,3,3,4,1,0.04971070831805325,7272.0,2,255
23999999.999999993,600,031200030404,5,5,4.746666666666667,5,1,1,4,0.9742461473136824,2848.0,2,256
35999999.999999985,900,031102050101,6,6,6.0,6,6,6,0,0.0,5400.0,1,257
23239999.999999993,581,031300110401,6,6,5.724612736660929,6,2,2,4,1.0127738684162908,3326.0,2,258
27199999.99999999,680,031101030304,4,4,4.0,4,4,4,0,0.0,2720.0,1,259
20559999.999999993,514,031200010303,2,4,1.8929961089494163,2,1,4,3,0.34481931769053226,973.0,3,260
60279999.99999998,1507,031102010802,6,6,4.951559389515594,6,1,1,5,2.0354300132181202,7462.0,2,261
99439999.99999997,2486,030801031302,6,6,6.0,6,6,6,0,0.0,14916.0,1,262
166119999.99999994,4153,030802010601,4,6,4.0207079219841075,4,4,6,2,0.20245252760910823,16698.0,2,263
47399999.999999985,1185,030702040403,5,6,5.007594936708861,5,5,6,1,0.08681735797206439,5934.0,2,264
46839999.999999985,1171,030702040301,5,5,5.0,5,5,5,0,0.0,5855.0,1,265
47839999.999999985,1196,031101030405,4,4,3.979933110367893,4,1,1,3,0.2445362730492417,4760.0,2,266
18959999.999999993,474,031200030602,5,5,4.822784810126582,5,1,1,4,0.8230768712409546,2286.0,2,267
128839999.99999996,3221,030702040201,5,6,5.008382489909966,5,1,1,5,0.12050508519574395,16132.0,3,268
19519999.999999993,488,031200030501,2,2,1.9077868852459017,2,1,1,1,0.28932655637090415,931.0,2,269
120479999.99999996,3012,030801031003,6,6,5.112217795484728,6,1,5,5,1.9075643078772733,15398.0,3,270
30759999.99999999,769,031200030302,5,5,5.0,5,5,5,0,0.0,3845.0,1,271
34319999.999999985,858,031300110303,6,6,6.0,6,6,6,0,0.0,5148.0,1,272
519999.9999999998,13,031102030906,3,3,3.0,3,3,3,0,0.0,39.0,1,273
121799999.99999996,3045,031102010704,6,6,5.960262725779967,6,1,5,5,0.44248580908080115,18149.0,3,274
10639999.999999996,266,031300120403,4,4,3.8533834586466167,4,1,1,3,0.6468022988995339,1025.0,2,275
43119999.999999985,1078,030702040302,5,5,5.0,5,5,5,0,0.0,5390.0,1,276
33719999.999999985,843,031300120408,4,6,4.002372479240806,4,4,6,2,0.06884279064555142,3374.0,2,277
13959999.999999994,349,031101030303,4,4,4.0,4,4,4,0,0.0,1396.0,1,278
112719999.99999996,2818,031101030402,4,4,4.0,4,4,4,0,0.0,11272.0,1,279
11119999.999999996,278,031200010401,2,5,1.8884892086330936,2,1,5,4,0.3771493104879443,525.0,3,280
30959999.99999999,774,031200030301,5,5,3.9198966408268734,5,1,1,4,1.775891373422213,3034.0,2,281
