AREA,COUNT,MAJORITY,MAX,MEAN,MEDIAN,MIN,MINORITY,RANGE,STD,SUM,Unique,VARIETY
23159999.99999999,579,0,0,0.0,0,0,0,0,0.0,0.0,70,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,71,1
12879999.999999993,322,0,0,0.0,0,0,0,0,0.0,0.0,72,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,73,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,74,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,75,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,76,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,77,1
23119999.99999999,578,0,2,0.01730103806228374,0,0,2,2,0.1852100164854344,10.0,78,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,79,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,80,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,81,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,82,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,83,1
23079999.99999999,577,0,2,0.02079722703639515,0,0,2,2,0.2028840294857802,12.0,84,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,85,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,86,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,87,1
39999.99999999998,1,0,0,0.0,0,0,0,0,0.0,0.0,88,1
4759999.999999997,119,0,0,0.0,0,0,0,0,0.0,0.0,89,1
22359999.99999999,559,0,0,0.0,0,0,0,0,0.0,0.0,90,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,91,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,92,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,93,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,94,1
22999999.99999999,575,0,2,0.0034782608695652175,0,0,2,2,0.0833332073092935,2.0,95,2
23119999.99999999,578,0,2,0.07958477508650519,0,0,2,2,0.39094221279805635,46.0,96,2
23039999.99999999,576,0,2,0.11458333333333333,0,0,2,2,0.464798156610898,66.0,97,2
22999999.99999999,575,0,2,0.0034782608695652175,0,0,2,2,0.0833332073092935,2.0,98,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,99,1
22999999.99999999,575,0,2,0.17391304347826086,0,0,2,2,0.5635426694267704,100.0,100,2
23119999.99999999,578,0,2,0.12110726643598616,0,0,2,2,0.47701945755742015,70.0,101,2
22999999.99999999,575,0,2,0.01391304347826087,0,0,2,2,0.16623030463093594,8.0,102,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,103,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,104,1
719999.9999999997,18,0,0,0.0,0,0,0,0,0.0,0.0,105,1
23119999.99999999,578,0,2,0.04498269896193772,0,0,2,2,0.2965500880424336,26.0,106,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,107,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,108,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,109,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,110,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,111,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,112,1
22999999.99999999,575,0,2,0.01391304347826087,0,0,2,2,0.16623030463093594,8.0,113,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,114,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,115,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,116,1
23119999.99999999,578,0,2,0.14878892733564014,0,0,2,2,0.524823503450055,86.0,117,2
23039999.99999999,576,0,2,0.28125,0,0,2,2,0.6952686081652184,162.0,118,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,119,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,120,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,121,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,122,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,123,1
5759999.999999997,144,0,0,0.0,0,0,0,0,0.0,0.0,124,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,125,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,126,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,127,1
23119999.99999999,578,0,2,0.020761245674740483,0,0,2,2,0.2027102908771877,12.0,128,2
22999999.99999999,575,0,2,0.04521739130434783,0,0,2,2,0.29730484377541705,26.0,129,2
23039999.99999999,576,0,2,0.010416666666666666,0,0,2,2,0.1439611975113047,6.0,130,2
23119999.99999999,578,0,2,0.010380622837370242,0,0,2,2,0.14371321562141998,6.0,131,2
23079999.99999999,577,0,2,0.006932409012131715,0,0,2,2,0.1175447137456719,4.0,132,2
23039999.99999999,576,0,2,0.006944444444444444,0,0,2,2,0.11764634962567651,4.0,133,2
23039999.99999999,576,0,2,0.010416666666666666,0,0,2,2,0.1439611975113047,6.0,134,2
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,135,1
23079999.99999999,577,0,2,0.038128249566724434,0,0,2,2,0.2735008879664314,22.0,136,2
23039999.99999999,576,0,2,0.059027777777777776,0,0,2,2,0.3384837913492651,34.0,137,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,138,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,139,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,140,1
23159999.99999999,579,0,0,0.0,0,0,0,0,0.0,0.0,141,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,142,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,143,1
8119999.999999995,203,0,0,0.0,0,0,0,0,0.0,0.0,144,1
23039999.99999999,576,0,2,0.006944444444444444,0,0,2,2,0.11764634962567651,4.0,145,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,146,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,147,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,148,1
23119999.99999999,578,0,2,0.020761245674740483,0,0,2,2,0.2027102908771877,12.0,149,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,150,1
22999999.99999999,575,0,2,0.44869565217391305,0,0,2,2,0.8343042107457285,258.0,151,2
23039999.99999999,576,0,2,0.017361111111111112,0,0,2,2,0.18552847232489647,10.0,152,2
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,153,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,154,1
23079999.99999999,577,0,2,0.1559792027729636,0,0,2,2,0.5363104454028822,90.0,155,2
23039999.99999999,576,0,2,0.2916666666666667,0,0,2,2,0.705878097754059,168.0,156,2
23079999.99999999,577,0,2,0.02079722703639515,0,0,2,2,0.2028840294857802,12.0,157,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,158,1
