PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,Shape_Length,Shape_Area,bounds
NH17-02, 6174,NH17-02 6174,56,19207.809869890887,23058197.631291296,"-80.848,31.801,-80.797,31.844"
NH17-02, 6176,NH17-02 6176,57,19207.7114761638,23058046.237985164,"-80.746,31.801,-80.696,31.844"
NH17-02, 6177,NH17-02 6177,58,19207.645928844893,23057888.900554124,"-80.696,31.801,-80.645,31.844"
NH17-02, 6178,NH17-02 6178,59,19207.5693847394,23057705.168457367,"-80.645,31.801,-80.594,31.844"
NH17-02, 6179,NH17-02 6179,60,19207.482029769453,23057495.48815448,"-80.594,31.800,-80.543,31.844"
NH17-02, 6180,NH17-02 6180,61,19207.38379259118,23057259.68807758,"-80.544,31.800,-80.493,31.844"
NH17-02, 6181,NH17-02 6181,62,19207.27446403355,23056997.264432006,"-80.493,31.800,-80.442,31.843"
NH17-02, 6182,NH17-02 6182,63,19207.154387681003,23056709.04593285,"-80.442,31.800,-80.391,31.843"
NH17-02, 6183,NH17-02 6183,64,19207.02320016542,23056394.15855074,"-80.392,31.799,-80.340,31.843"
NH17-02, 6184,NH17-02 6184,65,19206.88134778795,23056053.676011354,"-80.341,31.799,-80.290,31.843"
NH17-02, 6185,NH17-02 6185,66,19206.728404002395,23055686.571846083,"-80.290,31.799,-80.239,31.843"
NH17-02, 6186,NH17-02 6186,67,19206.564578219826,23055293.354981944,"-80.239,31.799,-80.188,31.842"
NH17-02, 6187,NH17-02 6187,68,19206.38989011357,23054874.07035116,"-80.189,31.798,-80.138,31.842"
NH17-02, 6188,NH17-02 6188,69,19206.20402765031,23054427.964009777,"-80.138,31.798,-80.087,31.842"
NH17-02, 6189,NH17-02 6189,70,19206.00753200537,23053956.34571208,"-80.087,31.798,-80.036,31.841"
NH17-02, 6190,NH17-02 6190,71,19205.800008239217,23053458.26217281,"-80.037,31.797,-79.985,31.841"
NH17-02, 6221,NH17-02 6221,72,16295.420725193933,12911543.322655927,"-80.993,31.758,-80.949,31.801"
NH17-02, 6224,NH17-02 6224,73,19207.80366309417,23058282.304175973,"-80.848,31.758,-80.797,31.801"
NH17-02, 6225,NH17-02 6225,74,19207.76006658284,23058177.655636385,"-80.797,31.758,-80.746,31.801"
NH17-02, 6226,NH17-02 6226,75,19207.7054116447,23058046.46311488,"-80.747,31.758,-80.696,31.801"
NH17-02, 6227,NH17-02 6227,76,19207.639729766874,23057888.80456313,"-80.696,31.757,-80.645,31.801"
NH17-02, 6230,NH17-02 6230,77,19207.377581526598,23057259.55945675,"-80.544,31.757,-80.493,31.800"
NH17-02, 6231,NH17-02 6231,78,19207.268372873103,23056997.42411749,"-80.493,31.757,-80.442,31.800"
NH17-02, 6232,NH17-02 6232,79,19207.148168908374,23056708.89912742,"-80.442,31.756,-80.392,31.800"
NH17-02, 6233,NH17-02 6233,80,19207.017072415474,23056394.230962105,"-80.392,31.756,-80.341,31.800"
NH17-02, 6234,NH17-02 6234,81,19206.87498069256,23056053.1718846,"-80.341,31.756,-80.290,31.799"
NH17-02, 6235,NH17-02 6235,82,19206.722110969975,23055686.24657586,"-80.290,31.756,-80.239,31.799"
NH17-02, 6236,NH17-02 6236,83,19206.558328987496,23055293.132791728,"-80.240,31.755,-80.189,31.799"
NH17-02, 6237,NH17-02 6237,84,19206.383622774905,23054873.801722392,"-80.189,31.755,-80.138,31.799"
NH17-02, 6238,NH17-02 6238,85,19206.1979214363,23054428.082588583,"-80.138,31.755,-80.087,31.798"
NH17-02, 6239,NH17-02 6239,86,19206.00139081694,23053956.378488764,"-80.088,31.754,-80.037,31.798"
NH17-02, 6240,NH17-02 6240,87,19205.793801802032,23053458.136006914,"-80.037,31.754,-79.986,31.798"
NH17-02, 6269,NH17-02 6269,88,709.2221213738586,22408.44836919473,"-81.053,31.715,-81.051,31.716"
NH17-02, 6270,NH17-02 6270,89,13733.397695444368,4763275.849630567,"-81.051,31.715,-81.000,31.741"
NH17-02, 6271,NH17-02 6271,90,18676.23569416177,22347140.40570748,"-81.000,31.715,-80.949,31.758"
NH17-02, 6272,NH17-02 6272,91,19207.852160408995,23058323.134650048,"-80.949,31.715,-80.899,31.758"
NH17-02, 6273,NH17-02 6273,92,19207.830477159296,23058361.305772714,"-80.899,31.714,-80.848,31.758"
NH17-02, 6274,NH17-02 6274,93,19207.797539931827,23058282.24239631,"-80.848,31.714,-80.797,31.758"
NH17-02, 6275,NH17-02 6275,94,19207.75380614297,23058177.26626218,"-80.797,31.714,-80.747,31.758"
NH17-02, 6280,NH17-02 6280,95,19207.37137098922,23057259.285756424,"-80.544,31.714,-80.493,31.757"
NH17-02, 6281,NH17-02 6281,96,19207.262199366167,23056997.239261966,"-80.493,31.713,-80.442,31.757"
NH17-02, 6282,NH17-02 6282,97,19207.142116783816,23056709.004301757,"-80.443,31.713,-80.392,31.757"
NH17-02, 6283,NH17-02 6283,98,19207.01097715417,23056394.231135976,"-80.392,31.713,-80.341,31.756"
NH17-02, 6284,NH17-02 6284,99,19206.868977951945,23056053.394761916,"-80.341,31.713,-80.290,31.756"
NH17-02, 6285,NH17-02 6285,100,19206.716150799737,23055686.57129278,"-80.291,31.712,-80.240,31.756"
NH17-02, 6286,NH17-02 6286,101,19206.55221530913,23055293.085714135,"-80.240,31.712,-80.189,31.756"
NH17-02, 6287,NH17-02 6287,102,19206.377586109706,23054873.938663483,"-80.189,31.712,-80.138,31.755"
NH17-02, 6288,NH17-02 6288,103,19206.191734036227,23054427.859183036,"-80.139,31.711,-80.088,31.755"
NH17-02, 6289,NH17-02 6289,104,19205.995219887787,23053956.193591993,"-80.088,31.711,-80.037,31.755"
NH17-02, 6319,NH17-02 6319,105,8459.743854483204,636396.2869887031,"-81.055,31.671,-81.051,31.715"
NH17-02, 6320,NH17-02 6320,106,19209.2484373235,23042805.046378877,"-81.051,31.671,-81.000,31.715"
NH17-02, 6321,NH17-02 6321,107,19207.857208731028,23058469.791169375,"-81.000,31.671,-80.949,31.715"
NH17-02, 6322,NH17-02 6322,108,19207.84612935242,23058413.360469013,"-80.949,31.671,-80.899,31.715"
NH17-02, 6323,NH17-02 6323,109,19207.824472678905,23058361.378911756,"-80.899,31.671,-80.848,31.715"
