HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
030401030603,3200000.0,0.0,0.0,0.0,24840000.0,0.0
030501020202,6320000.0,880000.0,1800000.0,6000000.0,50400000.0,0.0
030501011203,45480000.0,40000.0,360000.0,1520000.0,21760000.0,0.0
030401050202,56120000.0,1600000.0,3520000.0,10120000.0,56800000.0,400000.0
030501020101,1800000.0,6360000.0,5920000.0,11480000.0,47320000.0,7720000.0
030501010606,24480000.0,4000000.0,4200000.0,7240000.0,32480000.0,9880000.0
030501011201,10840000.0,2720000.0,3520000.0,11320000.0,49760000.0,2320000.0
030501020102,5880000.0,880000.0,1000000.0,2320000.0,51360000.0,720000.0
030501010607,10040000.0,2800000.0,3560000.0,9480000.0,36680000.0,1720000.0
030401030605,400000.0,360000.0,160000.0,1200000.0,7480000.0,1400000.0
030501020103,33840000.0,0.0,0.0,1080000.0,44000000.0,0.0
030501011104,320000.0,720000.0,1520000.0,4720000.0,10200000.0,80000.0
030501010608,36560000.0,3720000.0,3080000.0,5560000.0,28760000.0,2560000.0
030501020302,42160000.0,0.0,0.0,0.0,58240000.0,0.0
030501011101,12480000.0,0.0,120000.0,1320000.0,54080000.0,0.0
030300030404,1960000.0,0.0,0.0,0.0,20080000.0,0.0
030401040304,2040000.0,120000.0,480000.0,3600000.0,45200000.0,0.0
030401030604,40000.0,0.0,0.0,0.0,7320000.0,0.0
030501010605,4160000.0,40000.0,120000.0,1560000.0,15280000.0,0.0
030501010303,6280000.0,2080000.0,3200000.0,4320000.0,18280000.0,5880000.0
030401040302,120000.0,0.0,0.0,1120000.0,15800000.0,0.0
030401030303,9120000.0,400000.0,1400000.0,5480000.0,88800000.0,40000.0
030401020501,7720000.0,0.0,200000.0,3080000.0,37520000.0,40000.0
030501010804,43280000.0,160000.0,200000.0,2120000.0,39880000.0,40000.0
030501011106,19040000.0,5360000.0,7040000.0,20800000.0,61480000.0,6600000.0
030401020503,1920000.0,2240000.0,3000000.0,8800000.0,35200000.0,3000000.0
030401030101,30040000.0,5840000.0,9080000.0,19160000.0,53800000.0,2560000.0
030300030603,0.0,0.0,0.0,0.0,80000.0,0.0
030501011105,1920000.0,600000.0,720000.0,2480000.0,14840000.0,1080000.0
030501010802,17680000.0,920000.0,2200000.0,7000000.0,38480000.0,160000.0
030501011102,38000000.0,0.0,0.0,880000.0,82240000.0,0.0
030401030301,33320000.0,640000.0,1160000.0,5160000.0,70080000.0,40000.0
030401030302,5840000.0,680000.0,1520000.0,4760000.0,50120000.0,240000.0
030501010403,4680000.0,880000.0,1360000.0,3520000.0,16320000.0,80000.0
030401030305,0.0,0.0,0.0,0.0,2600000.0,0.0
030401020502,4200000.0,560000.0,560000.0,880000.0,45040000.0,160000.0
030300030606,240000.0,920000.0,920000.0,1760000.0,80000.0,320000.0
030501010801,31040000.0,1520000.0,2400000.0,5120000.0,74080000.0,1000000.0
030501010402,600000.0,0.0,0.0,0.0,4120000.0,0.0
030401030501,160000.0,480000.0,800000.0,1280000.0,0.0,160000.0
030401030102,28080000.0,2280000.0,2640000.0,5960000.0,9080000.0,1280000.0
030401020303,8200000.0,240000.0,600000.0,2520000.0,51120000.0,0.0
030401020302,20600000.0,560000.0,1320000.0,4960000.0,35720000.0,160000.0
030501011103,680000.0,0.0,0.0,0.0,3840000.0,0.0
030501010904,38000000.0,200000.0,560000.0,2200000.0,36760000.0,0.0
030501010506,200000.0,2760000.0,2040000.0,2120000.0,1360000.0,7080000.0
030401030405,2120000.0,0.0,0.0,880000.0,15920000.0,0.0
030401030105,5320000.0,4400000.0,7600000.0,21560000.0,27120000.0,1600000.0
030501010803,42240000.0,0.0,0.0,0.0,73920000.0,0.0
030401020504,3160000.0,2560000.0,4160000.0,15400000.0,20560000.0,1280000.0
030401040301,8640000.0,840000.0,2040000.0,5680000.0,21080000.0,120000.0
030300040101,1800000.0,0.0,0.0,0.0,21360000.0,0.0
030501010703,5840000.0,4720000.0,4280000.0,9440000.0,37800000.0,5800000.0
030300030605,0.0,0.0,0.0,0.0,40000.0,0.0
030401020402,30320000.0,480000.0,760000.0,3000000.0,36400000.0,840000.0
030401030207,1080000.0,0.0,0.0,0.0,13080000.0,0.0
030300030607,2720000.0,1840000.0,3440000.0,8480000.0,18080000.0,800000.0
030501011005,1800000.0,2120000.0,2840000.0,6840000.0,49280000.0,1960000.0
030300030205,1560000.0,1560000.0,1960000.0,2480000.0,28080000.0,480000.0
030300030204,11840000.0,5920000.0,8120000.0,14440000.0,25600000.0,6560000.0
030401020401,14200000.0,3240000.0,5240000.0,13800000.0,27720000.0,1960000.0
030501010702,15480000.0,1480000.0,2200000.0,6520000.0,35040000.0,1040000.0
030501010903,5320000.0,0.0,0.0,0.0,48080000.0,0.0
030401020301,5720000.0,0.0,0.0,0.0,38320000.0,0.0
030501010901,4960000.0,0.0,0.0,0.0,91120000.0,0.0
030501011004,4640000.0,480000.0,1440000.0,6240000.0,32680000.0,40000.0
030401020603,400000.0,2400000.0,2120000.0,1840000.0,2960000.0,2880000.0
030401020108,11920000.0,400000.0,1680000.0,9720000.0,48760000.0,120000.0
030401030304,360000.0,1000000.0,1440000.0,4360000.0,9840000.0,200000.0
030401030103,6640000.0,1200000.0,2720000.0,9000000.0,48800000.0,320000.0
030300030207,680000.0,920000.0,1480000.0,6360000.0,7560000.0,560000.0
030401020103,1720000.0,800000.0,2000000.0,7000000.0,20760000.0,360000.0
030300030608,280000.0,400000.0,1120000.0,3520000.0,8480000.0,40000.0
