Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
66,576,23039999.99999999,3,4,1,3.013888888888889,0.11702985796078126,1736.0,2,3,4,3
67,575,22999999.99999999,3,3,0,3.0,0.0,1725.0,1,3,3,3
68,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
69,576,23039999.99999999,3,4,1,3.013888888888889,0.11702985796078126,1736.0,2,3,4,3
70,579,23159999.99999999,3,4,1,3.2072538860103625,0.4053390096499069,1857.0,2,3,4,3
71,576,23039999.99999999,3,4,1,3.7569444444444446,0.42892837685228397,2164.0,2,4,3,4
72,322,12879999.999999993,5,5,0,5.0,0.0,1610.0,1,5,5,5
73,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
74,577,23079999.99999999,4,5,1,4.9601386481802425,0.19563339298509036,2862.0,2,5,4,5
75,577,23079999.99999999,4,5,1,4.62738301559792,0.4835013622909259,2670.0,2,5,4,5
76,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
77,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
78,578,23119999.99999999,3,4,1,3.008650519031142,0.09260500824271882,1739.0,2,3,4,3
79,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
80,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
81,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
82,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
83,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
84,577,23079999.99999999,3,4,1,3.0103986135181975,0.10144201474289043,1737.0,2,3,4,3
85,576,23039999.99999999,3,4,1,3.251736111111111,0.43401041631943016,1873.0,2,3,4,3
86,576,23039999.99999999,3,4,1,3.9114583333333335,0.2840810446519717,2253.0,2,4,3,4
87,576,23039999.99999999,3,4,1,3.5434027777777777,0.49811263674110196,2041.0,2,4,3,4
88,1,39999.99999999998,5,5,0,5.0,0.0,5.0,1,5,5,5
89,119,4759999.999999997,5,5,0,5.0,0.0,595.0,1,5,5,5
90,559,22359999.99999999,5,5,0,5.0,0.0,2795.0,1,5,5,5
91,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
92,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
93,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
94,575,22999999.99999999,4,5,1,4.888695652173913,0.3145086484996809,2811.0,2,5,4,5
95,575,22999999.99999999,3,4,1,3.0017391304347827,0.04166660365465173,1726.0,2,3,4,3
96,578,23119999.99999999,3,4,1,3.0397923875432524,0.19547110639902748,1757.0,2,3,4,3
97,576,23039999.99999999,3,4,1,3.0572916666666665,0.232399078305449,1761.0,2,3,4,3
98,575,22999999.99999999,3,4,1,3.0017391304347827,0.04166660365465173,1726.0,2,3,4,3
99,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
100,575,22999999.99999999,3,4,1,3.0869565217391304,0.2817713347133867,1775.0,2,3,4,3
101,578,23119999.99999999,3,4,1,3.0605536332179932,0.23850972877870785,1769.0,2,3,4,3
102,575,22999999.99999999,3,4,1,3.0069565217391303,0.08311515231546988,1729.0,2,3,4,3
103,576,23039999.99999999,3,4,1,3.267361111111111,0.44258236225198,1882.0,2,3,4,3
104,577,23079999.99999999,3,4,1,3.998266897746967,0.04159445407277768,2307.0,2,4,3,4
105,18,719999.9999999997,5,5,0,5.0,0.0,90.0,1,5,5,5
106,578,23119999.99999999,5,5,0,5.0,0.0,2890.0,1,5,5,5
107,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
108,575,22999999.99999999,5,5,0,5.0,0.0,2875.0,1,5,5,5
109,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
110,577,23079999.99999999,4,5,1,4.934142114384748,0.2480335149078474,2847.0,2,5,4,5
111,576,23039999.99999999,4,5,1,4.105902777777778,0.3077131447252947,2365.0,2,4,5,4
112,577,23079999.99999999,3,4,1,3.7712305025996535,0.42004049145235944,2176.0,2,4,3,4
113,575,22999999.99999999,3,4,1,3.0069565217391303,0.08311515231546988,1729.0,2,3,4,3
114,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
115,578,23119999.99999999,3,3,0,3.0,0.0,1734.0,1,3,3,3
116,576,23039999.99999999,3,4,1,3.001736111111111,0.04163048197319648,1729.0,2,3,4,3
117,578,23119999.99999999,3,4,1,3.07439446366782,0.2624117517250271,1777.0,2,3,4,3
118,576,23039999.99999999,3,4,1,3.140625,0.3476343040826092,1809.0,2,3,4,3
119,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
120,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
121,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
122,577,23079999.99999999,3,4,1,3.533795493934142,0.4988565571281461,2039.0,2,4,3,4
123,575,22999999.99999999,3,4,1,3.6330434782608694,0.4819745147746408,2089.0,2,4,3,4
124,144,5759999.999999997,5,5,0,5.0,0.0,720.0,1,5,5,5
125,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
126,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
127,576,23039999.99999999,4,5,1,4.506944444444445,0.49995177236545085,2596.0,2,5,4,5
128,578,23119999.99999999,4,4,0,4.0,0.0,2312.0,1,4,4,4
129,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
130,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
131,578,23119999.99999999,3,4,1,3.868512110726644,0.3379331653563951,2236.0,2,4,3,4
132,577,23079999.99999999,3,4,1,3.003466204506066,0.05877235687284048,1733.0,2,3,4,3
133,576,23039999.99999999,3,4,1,3.0034722222222223,0.05882317481283974,1730.0,2,3,4,3
134,576,23039999.99999999,3,4,1,3.0052083333333335,0.07198059875565235,1731.0,2,3,4,3
135,575,22999999.99999999,3,4,1,3.0817391304347828,0.2739668684176033,1772.0,2,3,4,3
136,577,23079999.99999999,3,4,1,3.7227036395147315,0.44766403579793235,2148.0,2,4,3,4
137,576,23039999.99999999,3,4,1,3.3472222222222223,0.4760871250278505,1928.0,2,3,4,3
138,577,23079999.99999999,3,4,1,3.079722703639515,0.27086342345159947,1777.0,2,3,4,3
139,575,22999999.99999999,3,4,1,3.0017391304347827,0.04166660365465173,1726.0,2,3,4,3
140,576,23039999.99999999,3,4,1,3.0381944444444446,0.19166540861100578,1750.0,2,3,4,3
141,579,23159999.99999999,3,4,1,3.6597582037996546,0.47379037170325505,2119.0,2,4,3,4
142,575,22999999.99999999,3,3,0,3.0,0.0,1725.0,1,3,3,3
143,576,23039999.99999999,3,4,1,3.1284722222222223,0.33461486867667184,1802.0,2,3,4,3
144,203,8119999.999999995,5,5,0,5.0,0.0,1015.0,1,5,5,5
145,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
146,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
147,577,23079999.99999999,4,5,1,4.807625649913345,0.39416552299178753,2774.0,2,5,4,5
148,577,23079999.99999999,4,5,1,4.982668977469671,0.13050156393078835,2875.0,2,5,4,5
149,578,23119999.99999999,4,4,0,4.0,0.0,2312.0,1,4,4,4
150,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
151,575,22999999.99999999,3,4,1,3.902608695652174,0.29648986185914433,2244.0,2,4,3,4
152,576,23039999.99999999,3,4,1,3.060763888888889,0.2388967113544833,1763.0,2,3,4,3
153,578,23119999.99999999,3,3,0,3.0,0.0,1734.0,1,3,3,3
154,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
155,577,23079999.99999999,3,4,1,3.299826689774697,0.4581818916908921,1904.0,2,3,4,3
