HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
031101010504,1,4454,178159999.99999994,2.6666669845581055,2.6666669845581055,0.0,2.6666669845581055,0.0,11877.334749221802
031101010503,2,1219,48759999.999999985,2.6666669845581055,2.6666669845581055,0.0,2.6666669845581055,0.0,3250.6670541763306
031102050805,4,1978,79119999.99999997,2.6666669845581055,2.6666669845581055,0.0,2.6666669845581055,0.0,5274.667295455933
031101020903,5,2160,86399999.99999997,2.6666669845581055,3.6044907569885254,0.9378237724304199,2.8798012932141623,0.29986318938983136,6220.37079334259
031101020906,9,1188,47519999.999999985,3.3483338356018066,4.266667366027832,0.9183335304260254,3.9330656990057693,0.32288956041456024,4672.482050418854
031300110704,10,3186,127439999.99999996,3.1670498847961426,4.07307243347168,0.9060225486755371,3.839435361723292,0.17841872133810133,12232.441062450409
031101020905,11,4765,190599999.99999994,3.652432441711426,4.266667366027832,0.6142349243164062,4.202593754421126,0.06458784679670605,20025.359239816666
031300110706,13,2374,94959999.99999997,2.7355642318725586,3.679378032684326,0.9438138008117676,3.4158657679762676,0.22131245085024115,8109.265333175659
031101020904,14,616,24639999.999999993,4.200001239776611,4.200001239776611,0.0,4.200001239776611,0.0,2587.2007637023926
031300110703,18,173,6919999.999999997,3.7565698623657227,4.093017578125,0.33644771575927734,3.7954611778259277,0.027278514707140197,656.6147837638855
031300110705,19,50,1999999.9999999993,3.3984169960021973,3.45687198638916,0.05845499038696289,3.4334232664108275,0.014757364308769663,171.67116332054138
031300110804,20,6499,259959999.9999999,2.734949827194214,3.9689817428588867,1.2340319156646729,3.6810123844134988,0.32858434673218556,23922.89948630333
031300130504,21,1569,62759999.99999998,3.5345752239227295,3.9389054775238037,0.4043302536010742,3.8175825012041704,0.13569649596670383,5989.786944389343
031101020805,24,380,15199999.999999994,4.200001239776611,4.200001239776611,0.0,4.200001239776611,0.0,1596.0004711151123
031101020506,27,1390,55599999.99999998,4.200001239776611,4.200001239776611,0.0,4.200001239776611,0.0,5838.00172328949
031300130305,28,1829,73159999.99999997,3.866666793823242,3.8672361373901367,0.0005693435668945312,3.866719638799435,7.670370960943125e-05,7072.230219364166
031401010704,30,2228,89119999.99999997,3.599708080291748,3.778700351715088,0.17899227142333984,3.655398426834942,0.06882917547354626,8144.227694988251
031300130402,31,132,5279999.999999998,3.865938663482666,3.866847038269043,0.0009083747863769531,3.8665501421148125,0.0001777380112849687,510.3846187591553
031300130503,32,2854,114159999.99999996,3.500439167022705,3.913694381713867,0.4132552146911621,3.76807319098782,0.13826423121993353,10754.080887079239
031300130403,38,5502,220079999.9999999,3.492748260498047,4.722362518310547,1.2296142578125,4.010669262787942,0.37484484416301567,22066.702283859253
031300130304,39,34,1359999.9999999995,3.866666793823242,3.8675918579101562,0.0009250640869140625,3.8673542808083927,0.00016515475728583879,131.49004554748535
031101020505,43,2499,99959999.99999997,4.200001239776611,4.200001239776611,0.0,4.200001239776611,8.463100646488021e-07,10495.803098201752
031200031204,49,1353,54119999.99999998,3.5124549865722656,4.730890274047852,1.218435287475586,4.140959737041837,0.4641820733880698,5602.718524217606
031101020503,50,2075,82999999.99999997,4.200001239776611,4.417428016662598,0.21742677688598633,4.276333037916436,0.0970010367115544,8873.391053676605
031401010703,55,378,15119999.999999994,3.3335022926330566,3.6150002479553223,0.2814979553222656,3.48932071589919,0.0869486578439369,1318.9632306098938
031101020504,64,469,18759999.999999993,4.200001239776611,4.200001239776611,0.0,4.200001239776611,0.0,1969.8005814552307
031101020501,73,1442,57679999.99999998,4.394598960876465,4.4282402992248535,0.03364133834838867,4.412425285569507,0.006186613354886841,6362.717261791229
031200010903,77,2215,88599999.99999997,4.059312343597412,4.9997453689575195,0.9404330253601074,4.797750827367365,0.1604233727270314,10627.018082618713
031101020403,78,82,3279999.9999999986,4.416373252868652,4.428424835205078,0.012051582336425781,4.422902799234158,0.0029630410186081,362.6780295372009
031200031101,81,219,8759999.999999996,3.5558218955993652,3.6394128799438477,0.08359098434448242,3.598547901737091,0.01729943940520664,788.081990480423
031200031102,83,50,1999999.9999999993,3.5921125411987305,3.6441943645477295,0.05208182334899902,3.6150444889068605,0.012031619081750036,180.75222444534302
031200010902,93,2445,97799999.99999997,4.641152858734131,4.99977970123291,0.3586268424987793,4.757398939620254,0.12255432644374292,11631.840407371521
031101020502,96,59,2359999.999999999,4.4153242111206055,4.416687965393066,0.0013637542724609375,4.4160790281780695,0.00035699139008517415,260.5486626625061
031200010901,105,33,1319999.9999999995,4.65092658996582,4.706931114196777,0.05600452423095703,4.680937492486202,0.016283037357239533,154.47093725204468
031200011102,109,3036,121439999.99999996,4.661489009857178,5.000000476837158,0.33851146697998047,4.750390204045141,0.11587590758816306,14422.184659481049
031101020405,113,1170,46799999.999999985,4.324489593505859,4.413835525512695,0.08934593200683594,4.379194059127417,0.02068208824672306,5123.657049179077
031101020404,127,1115,44599999.999999985,4.383179664611816,4.425971031188965,0.04279136657714844,4.40489109834748,0.00894663878047968,4911.45357465744
031200011003,134,355,14199999.999999994,4.696342945098877,4.864869594573975,0.16852664947509766,4.73351601211118,0.034387874114318345,1680.398184299469
031200011001,150,53,2119999.999999999,4.685279846191406,4.692483901977539,0.0072040557861328125,4.68880217930056,0.0017714808439164747,248.5065155029297
031200011002,153,759,30359999.99999999,4.6686859130859375,4.999781131744385,0.33109521865844727,4.746110718240851,0.09906909878077613,3602.298035144806
031101030505,159,95,3799999.9999999986,4.701169967651367,4.777615547180176,0.0764455795288086,4.745397000563772,0.018372690014339214,450.81271505355835
031101020104,160,1806,72239999.99999997,4.286495208740234,4.825516700744629,0.5390214920043945,4.5213833713320275,0.1809977185678033,8165.618368625641
031200011103,185,443,17719999.999999993,4.74605655670166,4.84097957611084,0.09492301940917969,4.799962646536041,0.024890882334140576,2126.3834524154663
030801031204,186,1195,47799999.999999985,2.1162312030792236,2.1885251998901367,0.07229399681091309,2.1445918775502606,0.015500653097370176,2562.7872936725616
030801031103,198,7,279999.9999999999,2.1263580322265625,2.128843307495117,0.0024852752685546875,2.1277730805533275,0.0007750535703832262,14.894411563873291
030801031303,225,935,37399999.999999985,1.7434570789337158,2.371264934539795,0.6278078556060791,2.1220571329249416,0.18861329819631578,1984.1234192848206
030801031304,246,990,39599999.999999985,1.733352541923523,2.208883762359619,0.4755312204360962,1.8539000807386457,0.16837506858241338,1835.3610799312592
030801031301,253,30,1199999.9999999995,1.7975695133209229,1.9054226875305176,0.10785317420959473,1.8413913091023764,0.03267336920915764,55.24173927307129
030801031302,262,123,4919999.999999998,1.7440950870513916,1.8413047790527344,0.09720969200134277,1.77075341174273,0.02364491552656846,217.80266964435577
030802010601,263,1409,56359999.99999998,2.0742740631103516,2.6000006198883057,0.5257265567779541,2.2590576126864823,0.19172490555878882,3183.0121762752533
030801031404,284,1186,47439999.999999985,1.7389036417007446,3.421800374984741,1.6828967332839966,2.8275835701024152,0.47363388379306953,3353.5141141414642
030801031403,296,161,6439999.999999997,2.4376237392425537,3.0291943550109863,0.5915706157684326,2.8521151320534464,0.12623140786974044,459.19053626060486
030801031402,305,2,79999.99999999997,2.870269775390625,2.8894381523132324,0.019168376922607422,2.8798539638519287,0.009584188461303711,5.759707927703857
030801031604,308,64,2559999.999999999,2.5138731002807617,2.9271907806396484,0.4133176803588867,2.842361144721508,0.11143000678271645,181.9111132621765
030801031405,319,439,17559999.999999993,2.1243948936462402,3.190614700317383,1.0662198066711426,2.2899641414981224,0.21260056260797625,1005.2942581176758
030801031503,339,538,21519999.999999993,2.2225427627563477,3.802001714706421,1.5794589519500732,3.1207284958389168,0.3716017906347728,1678.9519307613373
030801031605,344,1111,44439999.999999985,1.8952105045318604,2.8537180423736572,0.9585075378417969,2.430691663688845,0.2383286070634655,2700.498438358307
030801031502,355,337,13479999.999999994,2.553341865539551,3.0660853385925293,0.5127434730529785,2.9805128701716574,0.10613382204152408,1004.4328372478485
030801031501,362,127,5079999.999999998,2.6797003746032715,2.961458683013916,0.28175830841064453,2.817891851184875,0.07087227974014185,357.8722651004791
030801031606,367,1198,47919999.999999985,1.6125421524047852,2.447443723678589,0.8349015712738037,1.8843027881668486,0.1551566632585256,2257.3947402238846
030801031603,379,1187,47479999.999999985,1.4501619338989258,2.9862539768218994,1.5360920429229736,2.209074409046189,0.4576838565600897,2622.1713235378265
030801031601,381,778,31119999.99999999,2.6920855045318604,3.292468547821045,0.6003830432891846,3.0653130523956222,0.07682869402557066,2384.813554763794
030702050302,427,847,33879999.999999985,3.4572715759277344,4.027235507965088,0.5699639320373535,3.875406493825361,0.11708621998968403,3282.4693002700806
030702050304,431,2250,89999999.99999997,1.7978620529174805,4.262327194213867,2.4644651412963867,3.4115499271286858,0.8337071887108978,7675.987336039543
030702050105,439,33,1319999.9999999995,3.5102720260620117,3.7009477615356445,0.1906757354736328,3.6141383503422593,0.05276360755843143,119.26656556129456
030702050303,440,1710,68399999.99999997,2.2628698348999023,4.244194030761719,1.9813241958618164,3.859390612094723,0.3268244775198174,6599.557946681976
030702050104,444,36,1439999.9999999995,3.637671709060669,3.8637051582336426,0.22603344917297363,3.7668154504564075,0.05921925709562478,135.60535621643066
030702040906,477,1620,64799999.99999998,3.851823329925537,4.206649303436279,0.3548259735107422,4.047154709144875,0.0772048941633643,6556.390628814697
030702040905,497,606,24239999.999999993,3.8228535652160645,4.155243873596191,0.33239030838012695,3.9413058265994483,0.06265791408031045,2388.4313309192657
030702040907,504,1474,58959999.99999998,3.838596820831299,4.091963768005371,0.25336694717407227,3.9993937623711098,0.02944037184241053,5895.106405735016
030702030401,524,521,20839999.999999993,3.5963637828826904,3.9934730529785156,0.3971092700958252,3.831051125865065,0.10351046295539724,1995.9776365756989
030702030402,576,2914,116559999.99999996,2.6884260177612305,4.2576189041137695,1.569192886352539,3.4637109850397154,0.34992078365660034,10093.253810405731
030702011201,581,358,14319999.999999994,2.61428165435791,2.711796998977661,0.09751534461975098,2.6560759910658085,0.023232421245929374,950.8752048015594
