GAP_S_1,GAP_S_2,GAP_S_3,GAP_S_39,GAP_S_4,GAP_S_9,HUC12
0.0,56560000.0,17120000.0,0.0,0.0,0.0,031101010504
21280000.0,0.0,3440000.0,7000000.0,0.0,6880000.0,031101010503
0.0,8480000.0,0.0,40080000.0,0.0,0.0,031102050804
0.0,70760000.0,400000.0,4520000.0,0.0,0.0,031102050805
0.0,42560000.0,0.0,38080000.0,0.0,0.0,031101020903
0.0,11760000.0,960000.0,17840000.0,0.0,0.0,031102050803
0.0,0.0,1360000.0,11520000.0,0.0,0.0,031102050802
0.0,0.0,15040000.0,5840000.0,0.0,0.0,031102050704
0.0,32960000.0,11560000.0,15240000.0,0.0,0.0,031101020906
1680000.0,29800000.0,25960000.0,0.0,0.0,0.0,031300110704
0.0,0.0,46320000.0,0.0,0.0,0.0,031101020905
0.0,0.0,5200000.0,0.0,0.0,0.0,031102050703
0.0,139640000.0,41120000.0,0.0,0.0,0.0,031300110706
0.0,0.0,11640000.0,0.0,0.0,0.0,031101020904
0.0,0.0,320000.0,0.0,0.0,0.0,031102050702
0.0,0.0,1920000.0,0.0,0.0,0.0,031101020804
0.0,0.0,40000.0,0.0,0.0,0.0,031101010201
0.0,16840000.0,7480000.0,0.0,0.0,0.0,031300110705
0.0,314280000.0,35720000.0,0.0,0.0,0.0,031300110804
160000.0,79760000.0,52320000.0,0.0,0.0,0.0,031300130504
0.0,0.0,0.0,52680000.0,0.0,0.0,031101020902
0.0,0.0,12440000.0,0.0,0.0,0.0,031102050701
0.0,0.0,17000000.0,0.0,0.0,0.0,031101020805
0.0,0.0,160000.0,38840000.0,0.0,0.0,031101020901
0.0,0.0,39840000.0,0.0,0.0,0.0,031101020506
800000.0,12960000.0,97440000.0,0.0,0.0,0.0,031300130305
0.0,0.0,3520000.0,0.0,0.0,0.0,031102050604
9760000.0,0.0,0.0,0.0,0.0,0.0,031401010704
0.0,0.0,32920000.0,0.0,0.0,0.0,031300130402
0.0,100360000.0,86600000.0,0.0,0.0,0.0,031300130503
0.0,0.0,74360000.0,0.0,0.0,0.0,031300130502
0.0,0.0,400000.0,23640000.0,0.0,0.0,031101020802
0.0,0.0,0.0,21520000.0,0.0,0.0,031101020803
0.0,0.0,8240000.0,0.0,0.0,0.0,031102050603
