HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area,bounds
030501010403,Lower Warrior Fork,Edisto-Santee,Santee,Upper Catawba,42721.625190213825,40630858.4609375,"-81.797,35.762,-81.685,35.877"
030300030408,Tysons Creek-Deep River,Cape Fear,Cape Fear,Deep,58166.465803882114,109373462.859375,"-79.522,35.423,-79.369,35.575"
030401030305,Yadkin River-High Rock Lake,Pee Dee,Upper Pee Dee,Lower Yadkin,60839.54208242621,69957542.5390625,"-80.333,35.527,-80.216,35.690"
030300030407,Buffalo Creek-Deep River,Cape Fear,Cape Fear,Deep,76805.76029260145,125211352.703125,"-79.595,35.345,-79.468,35.583"
030401020502,Withrow Creek,Pee Dee,Upper Pee Dee,South Yadkin,67827.48678761628,129171764.8125,"-80.863,35.612,-80.608,35.740"
030202040501,Goose Creek,Neuse-Pamlico,Neuse,Lower Neuse,54044.119503452246,96300196.6171875,"-76.948,35.031,-76.838,35.192"
030300030606,Big Buffalo Creek,Cape Fear,Cape Fear,Deep,37542.3568903206,52376960.1640625,"-79.244,35.437,-79.165,35.550"
030202020303,Yadkin Branch-Neuse River,Neuse-Pamlico,Neuse,Middle Neuse,40750.195348753696,45080053.4921875,"-77.623,35.218,-77.509,35.303"
030202020203,Outlet Bear Creek,Neuse-Pamlico,Neuse,Middle Neuse,35627.33571571754,41836356.65625,"-77.851,35.230,-77.770,35.341"
030501010801,McGalliard Creek-Rhodhiss Lake,Edisto-Santee,Santee,Upper Catawba,54464.04177648414,123083051.8828125,"-81.654,35.715,-81.522,35.863"
030202020103,Seymour Johnson Air Force Base-Neuse River,Neuse-Pamlico,Neuse,Middle Neuse,36622.95498158517,40671792.3203125,"-78.005,35.277,-77.909,35.362"
030202040705,Neuse River,Neuse-Pamlico,Neuse,Lower Neuse,50399.91539935535,100912881.0703125,"-76.592,35.005,-76.471,35.139"
030501010402,Irish Creek,Edisto-Santee,Santee,Upper Catawba,48469.29510523818,89341956.15625,"-81.895,35.794,-81.737,35.905"
030401030501,Betty McGees Creek-Uwharrie River,Pee Dee,Upper Pee Dee,Lower Yadkin,68524.25449675095,81045142.78125,"-80.109,35.602,-79.875,35.671"
030202011306,Lower Mill Creek,Neuse-Pamlico,Neuse,Upper Neuse,59886.76946963837,93830275.078125,"-78.365,35.304,-78.168,35.429"
030401030102,Lower Grants Creek,Pee Dee,Upper Pee Dee,Lower Yadkin,34348.171000614675,51495770.515625,"-80.541,35.652,-80.416,35.727"
030401020303,Middle Third Creek,Pee Dee,Upper Pee Dee,South Yadkin,59789.39333838779,106642736.578125,"-80.903,35.682,-80.678,35.767"
030401020302,Upper Third Creek,Pee Dee,Upper Pee Dee,South Yadkin,40311.91580834078,64038640.234375,"-81.005,35.717,-80.853,35.797"
030202011302,Lower Hannah Creek,Neuse-Pamlico,Neuse,Upper Neuse,51844.788773299566,88103425.890625,"-78.473,35.359,-78.299,35.450"
030202040703,Broad Creek,Neuse-Pamlico,Neuse,Lower Neuse,61587.71216303503,89283584.875,"-76.688,35.022,-76.518,35.151"
030300040503,Buies Creek,Cape Fear,Cape Fear,Upper Cape Fear,39563.443293671306,72294400.703125,"-78.780,35.382,-78.684,35.501"
030202011301,Upper Hannah Creek,Neuse-Pamlico,Neuse,Upper Neuse,39084.886485442286,75181644.8046875,"-78.565,35.358,-78.461,35.465"
030300030604,Smiths Creek-Deep River,Cape Fear,Cape Fear,Deep,58777.45604448442,69498774.4609375,"-79.399,35.452,-79.270,35.588"
030202040402,Headwaters Upper Broad Creek,Neuse-Pamlico,Neuse,Lower Neuse,39174.100285563014,79485701.5859375,"-77.030,35.135,-76.902,35.234"
030202020106,Lake Wakena-Walnut Creek,Neuse-Pamlico,Neuse,Middle Neuse,27122.178468608014,35733512.6953125,"-77.931,35.296,-77.849,35.381"
030201050206,Town of Portsmouth-Portsmouth Island,Neuse-Pamlico,Pamlico,Pamlico Sound,47443.34355155025,93269962.375,"-76.179,34.966,-76.049,35.092"
030501011103,Buffalo Shoals Creek,Edisto-Santee,Santee,Upper Catawba,37124.542609217795,59014883.4453125,"-81.085,35.712,-80.984,35.829"
030202020304,Briery Run,Neuse-Pamlico,Neuse,Middle Neuse,33244.7260307037,35658705.3828125,"-77.654,35.284,-77.529,35.340"
030501010904,Lake Hickory-Catawba River,Edisto-Santee,Santee,Upper Catawba,54067.065847089834,88713299.125,"-81.364,35.738,-81.187,35.852"
030202040801,Upper Bay River,Neuse-Pamlico,Neuse,Lower Neuse,46076.60992693394,106921075.1875,"-76.849,35.060,-76.751,35.204"
030300030602,Indian Creek,Cape Fear,Cape Fear,Deep,39255.43116818904,67111884.671875,"-79.449,35.523,-79.324,35.606"
030202020602,Outlet Core Creek,Neuse-Pamlico,Neuse,Middle Neuse,46593.01660777481,107745175.6875,"-77.385,35.184,-77.227,35.295"
030300030208,Flat Creek-Deep River,Cape Fear,Cape Fear,Deep,71020.50152786363,88479285.171875,"-79.667,35.515,-79.487,35.646"
030202020102,Outlet Stoney Creek,Neuse-Pamlico,Neuse,Middle Neuse,29743.752215916666,34888866.140625,"-78.006,35.338,-77.903,35.401"
030202011705,Quaker Neck Lake-Neuse River,Neuse-Pamlico,Neuse,Upper Neuse,89259.49888035978,126812747.6640625,"-78.176,35.270,-77.972,35.412"
030501010506,Lower Johns River,Edisto-Santee,Santee,Upper Catawba,50518.36622353844,65453109.0546875,"-81.784,35.779,-81.649,35.928"
030401030405,Taylor Creek,Pee Dee,Upper Pee Dee,Lower Yadkin,33433.59593718313,29195242.40625,"-79.959,35.635,-79.849,35.686"
030300060101,Upper Black River,Cape Fear,Cape Fear,Black,62439.03986391423,95635868.3125,"-78.756,35.352,-78.591,35.528"
030401030105,Deals Creek-Yadkin River,Pee Dee,Upper Pee Dee,Lower Yadkin,66228.33831047006,94664243.53125,"-80.537,35.666,-80.305,35.766"
030501010803,Gunpowder Creek,Edisto-Santee,Santee,Upper Catawba,57804.69750060533,117639863.859375,"-81.548,35.772,-81.354,35.904"
030202020604,Pinetree Creek-Neuse River,Neuse-Pamlico,Neuse,Middle Neuse,47124.974951481716,85195155.015625,"-77.287,35.193,-77.120,35.300"
030401020504,Lower Second Creek,Pee Dee,Upper Pee Dee,South Yadkin,43279.44845035096,69447867.796875,"-80.634,35.686,-80.486,35.780"
030202040802,Middle Bay River,Neuse-Pamlico,Neuse,Lower Neuse,55709.16365258724,123924445.8515625,"-76.773,35.062,-76.649,35.225"
030401040301,Headwaters Little River,Pee Dee,Upper Pee Dee,Upper Pee Dee,64233.07732739057,118263254.0078125,"-79.903,35.501,-79.774,35.691"
030401020304,Lower Third Creek,Pee Dee,Upper Pee Dee,South Yadkin,28229.0462659897,31198094.625,"-80.686,35.728,-80.589,35.795"
030501010302,Lower Linville River,Edisto-Santee,Santee,Upper Catawba,52132.40724503585,60230973.921875,"-81.939,35.784,-81.874,35.961"
030300040101,Lick Creek,Cape Fear,Cape Fear,Upper Cape Fear,50712.181707828255,125615514.484375,"-79.179,35.459,-79.041,35.597"
030202020305,Stonyton Creek,Neuse-Pamlico,Neuse,Middle Neuse,52662.99100616227,57478376.6953125,"-77.646,35.263,-77.482,35.359"
030202020306,Mosley Creek,Neuse-Pamlico,Neuse,Middle Neuse,55752.71587907072,128963424.484375,"-77.513,35.180,-77.376,35.338"
030501010703,Lower Lower Creek,Edisto-Santee,Santee,Upper Catawba,48887.52624289542,87353066.3671875,"-81.701,35.785,-81.600,35.932"
030401030601,Lick Creek,Pee Dee,Upper Pee Dee,Lower Yadkin,57283.600464859956,88853097.7265625,"-80.212,35.579,-80.061,35.730"
030300030605,Cedar Creek,Cape Fear,Cape Fear,Deep,30346.05674650273,34122531.59375,"-79.338,35.546,-79.246,35.624"
030202020205,Falling Creek,Neuse-Pamlico,Neuse,Middle Neuse,63585.94925733025,134941529.203125,"-77.802,35.241,-77.641,35.393"
030401020402,Middle Fourth Creek,Pee Dee,Upper Pee Dee,South Yadkin,49118.61465376107,78160608.84375,"-80.917,35.752,-80.739,35.837"
030401030207,High Rock Lake-Abbotts Creek,Pee Dee,Upper Pee Dee,Lower Yadkin,38313.38729761015,64783579.546875,"-80.275,35.637,-80.188,35.759"
030300040105,Daniels Creek-Cape Fear River,Cape Fear,Cape Fear,Upper Cape Fear,60248.44825290975,94891324.015625,"-79.076,35.435,-78.873,35.569"
030202020307,Mosley Creek-Neuse River,Neuse-Pamlico,Neuse,Middle Neuse,53849.76830269248,57408091.2265625,"-77.537,35.258,-77.391,35.358"
030300030507,Headwaters Bear Creek,Cape Fear,Cape Fear,Deep,39872.68202492237,65829253.2890625,"-79.508,35.565,-79.372,35.648"
030401020403,Lower Fourth Creek,Pee Dee,Upper Pee Dee,South Yadkin,61556.53067106819,84291487.59375,"-80.760,35.748,-80.528,35.819"
