HUC12,VALUE_0,VALUE_1
031300120505,128920000.0,9160000.0
031101030503,72600000.0,0.0
031200030804,0.0,66520000.0
031102050104,73320000.0,5080000.0
031300120503,76400000.0,6400000.0
031200010701,0.0,74840000.0
031200010503,72320000.0,0.0
031200010604,83560000.0,0.0
031102060401,151640000.0,0.0
031102010801,81880000.0,0.0
031200030803,0.0,56320000.0
031200010602,0.0,42520000.0
031200030605,0.0,55080000.0
031101030502,61840000.0,0.0
031200010603,31840000.0,66920000.0
031200030604,0.0,54240000.0
031200030801,0.0,77520000.0
030801031004,64480000.0,0.0
031101020102,93880000.0,0.0
030702040401,97880000.0,0.0
031300110404,120000.0,33040000.0
031101030501,42480000.0,0.0
030702040402,64640000.0,0.0
030801031303,43000000.0,0.0
031102060201,86480000.0,1600000.0
031102050303,153000000.0,1960000.0
031401010102,68080000.0,0.0
031102050103,84920000.0,1400000.0
031102010703,31840000.0,67480000.0
031101030406,63440000.0,0.0
031300110402,0.0,41040000.0
031200030802,0.0,21040000.0
031101030404,38200000.0,0.0
031200010501,38640000.0,0.0
031200010404,37400000.0,0.0
031300110403,48560000.0,28200000.0
030801031101,65000000.0,0.0
031300120502,18480000.0,88760000.0
031200030502,3600000.0,44240000.0
031200010601,54040000.0,16320000.0
031200030303,0.0,22320000.0
030801031002,119560000.0,2720000.0
031101030403,109520000.0,0.0
031102050301,141840000.0,0.0
030801031304,49080000.0,0.0
031401010101,66600000.0,0.0
031200010403,37320000.0,0.0
031102050102,112080000.0,15680000.0
031102050105,116680000.0,22200000.0
031300120501,108880000.0,1040000.0
031200030603,0.0,90080000.0
030801031301,91480000.0,0.0
031200010402,51960000.0,0.0
031101020101,73960000.0,0.0
031200030404,21560000.0,35080000.0
031102050101,75920000.0,10880000.0
031300110401,51840000.0,12920000.0
031101030304,19600000.0,0.0
031200010303,64720000.0,0.0
031102010802,80480000.0,34480000.0
030801031302,88680000.0,0.0
030802010601,88040000.0,0.0
030702040403,62760000.0,0.0
030702040301,53480000.0,36760000.0
031101030405,57080000.0,0.0
031200030602,33280000.0,16960000.0
030702040201,6600000.0,85960000.0
031200030501,51880000.0,6520000.0
030801031003,154480000.0,0.0
031200030302,30240000.0,11080000.0
031300110303,0.0,39400000.0
031102030906,49480000.0,0.0
031102010704,8160000.0,109640000.0
031300120403,37920000.0,0.0
030702040302,13480000.0,28360000.0
031300120408,33000000.0,69360000.0
031101030303,68520000.0,0.0
031101030402,79800000.0,0.0
031200010401,49560000.0,1360000.0
031200030301,71680000.0,2600000.0
031200010302,44400000.0,2480000.0
031300110202,2560000.0,54320000.0
030801031404,35240000.0,0.0
031300110203,0.0,66240000.0
031300110302,65360000.0,13080000.0
031200030403,47840000.0,1160000.0
031102010902,44160000.0,20840000.0
031200030402,35000000.0,0.0
031402030803,95280000.0,0.0
031200030601,43680000.0,360000.0
030801031201,15680000.0,0.0
031402030804,98600000.0,0.0
031102010904,31320000.0,33800000.0
030702040303,41960000.0,0.0
030801031403,61320000.0,0.0
031102030907,144280000.0,0.0
031102010604,33120000.0,9560000.0
030702040501,118960000.0,0.0
031200030401,40600000.0,0.0
031200030104,8240000.0,25360000.0
031101030305,54080000.0,0.0
030702040202,320000.0,75200000.0
031402030802,67000000.0,0.0
030801031402,67040000.0,0.0
031200010301,30640000.0,25480000.0
031300120401,106280000.0,0.0
030801031604,43440000.0,0.0
030801031602,29640000.0,0.0
031300110102,9640000.0,51080000.0
031102010804,50480000.0,18040000.0
030801031401,76200000.0,0.0
031300110201,20200000.0,38480000.0
031102010701,0.0,77280000.0
031300120405,14800000.0,51000000.0
031101030401,38760000.0,3560000.0
031102010702,0.0,111560000.0
031101030205,61480000.0,0.0
030801031405,39880000.0,0.0
031300110301,50040000.0,21000000.0
031300120404,94240000.0,840000.0
031200030106,38600000.0,39400000.0
031200010203,29640000.0,65560000.0
031102030905,52840000.0,0.0
031300120407,72120000.0,3600000.0
031200030207,65720000.0,0.0
031200030208,38240000.0,0.0
031300120402,35880000.0,0.0
031102010606,0.0,105920000.0
031200030105,4280000.0,51320000.0
031102010603,44440000.0,640000.0
030702040105,23720000.0,62320000.0
030702040203,0.0,64600000.0
031101030302,84000000.0,0.0
031102010903,89760000.0,0.0
030702040502,130240000.0,0.0
031102030908,105200000.0,2920000.0
031300110101,55680000.0,54600000.0
030801031503,81440000.0,0.0
031300120406,39240000.0,0.0
031102030904,144640000.0,0.0
031300040805,51840000.0,0.0
031102010905,58840000.0,34520000.0
030801031605,81840000.0,0.0
031101030204,71640000.0,0.0
031200030205,19600000.0,0.0
031200030103,0.0,82440000.0
031200010202,0.0,53960000.0
031102010605,7480000.0,62600000.0
031300120304,16480000.0,49960000.0
031102021202,57720000.0,0.0
031200010201,11600000.0,116160000.0
031102030903,54320000.0,0.0
031200030101,10200000.0,4600000.0
030801031502,86440000.0,0.0
031101030203,26880000.0,38160000.0
031300040806,19080000.0,15440000.0
031300080803,0.0,8760000.0
031200030102,18920000.0,37880000.0
031102010602,95920000.0,33520000.0
030702040503,70520000.0,52160000.0
030801031501,83560000.0,0.0
031200030206,43960000.0,7440000.0
031300120302,98000000.0,3680000.0
030702040104,920000.0,60520000.0
031102010503,0.0,57680000.0
030801031606,31360000.0,0.0
031101030202,64120000.0,1280000.0
031102010601,51920000.0,0.0
031200030203,35120000.0,0.0
031102030902,71080000.0,0.0
031300120305,88920000.0,18840000.0
031101030301,64480000.0,0.0
